ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20315,2025/26,25,Barcelona,A. Christensen,Defensa,5.0,29,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
20319,2025/26,25,Real Madrid,A. F. Carreras,Defensa,22.0,22,ES,70%,Sano,21,2,2,0,4,1,1.9,149,7.1,9,16,0
20321,2025/26,25,Real Oviedo,Aarón,Portero,24.0,30,ES,95%,Sano,23,0,0,2,2,0,1.8,172,7.5,2,7,4
20320,2025/26,25,Betis,Abde,Delantero,22.0,24,MA,90%,Sano,15,5,4,0,2,0,2,119,7.9,10,10,5
20316,2025/26,25,Mallorca,Abdon,Delantero,3.0,33,ES,5%,Sano,9,0,0,0,0,0,-1,13,1.4,0,0,2
20317,2025/26,25,Girona,Abel Ruiz,Delantero,3.0,26,ES,10%,Sano,3,0,0,0,0,0,-1,4,1.3,0,0,0
20318,2025/26,25,Getafe,Abqar,Defensa,8.0,26,MA,70%,Sano,12,0,1,0,6,0,1,45,3.8,3,1,0
20313,2025/26,25,Elche,Adam Boayar,Mediocampista,4.0,20,MA,10%,Sano,6,1,0,0,0,0,1,17,2.8,0,0,2
20318,2025/26,25,Sevilla,Adams,Delantero,11.0,26,NG,70%,Sano,19,6,2,0,1,0,1,87,4.6,3,3,-1
20320,2025/26,25,Betis,Adrián,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20313,2025/26,25,Elche,Affengruber,Defensa,11.0,24,AT,50%,Sano,22,0,0,0,5,1,1.2,94,4.3,0,-1,-1
20322,2025/26,25,Valencia,Agirrezabala,Portero,17.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
20318,2025/26,25,Sevilla,Agoume,Mediocampista,11.0,24,FR,80%,Sano,21,1,2,0,9,0,1,85,4,3,4,0
20313,2025/26,25,Elche,Aguado,Mediocampista,11.0,25,ES,70%,Sano,23,0,1,0,2,0,1,89,3.9,5,2,0
20321,2025/26,25,Real Oviedo,Ahijado,Defensa,8.0,31,ES,20%,Sano,13,0,1,0,2,0,1,41,3.2,2,2,3
20316,2025/26,25,Celta,Aidoo,Defensa,5.0,30,GH,30%,Sano,3,0,0,0,0,0,-1,9,3,0,0,0
20321,2025/26,25,Real Sociedad,Aihen,Defensa,6.0,28,ES,40%,Sano,16,0,0,0,1,0,1,29,1.8,-3,0,2
20319,2025/26,25,Osasuna,Aitor,Portero,1.0,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
20320,2025/26,25,Rayo,Akhomach,Delantero,5.0,21,MA,70%,Sano,3,0,0,0,1,0,1.9,32,2.7,8,3,1
20319,2025/26,25,Real Madrid,Alaba,Defensa,4.0,33,AT,30%,Sano,6,0,0,0,0,0,1.1,14,2.3,2,0,2
