Clave_Scraping,Clave_Mercado
A. Christensen_Barcelona,Christensen_Barcelona
A. F. Carreras_Real Madrid,Á. Carreras_Real Madrid
Aarón_Real Oviedo,Aarón_Real Oviedo
Abde_Betis,Ez Abde_Betis
Abdon_Mallorca,Abdón_Mallorca
Abel Ruiz_Girona,Abel Ruiz_Girona
Abqar_Getafe,A. abqar_Getafe
Adam Boayar_Elche,Adam B._Elche
Adams_Sevilla,Akor_Sevilla
Adrián_Betis,Adrián_Betis
Affengruber_Elche,Affengruber_Elche
Agirrezabala_Valencia,Agirrezabala_Valencia
Agoume_Sevilla,Agoumé_Sevilla
Aguado_Elche,M. Aguado_Elche
Ahijado_Real Oviedo,Lucas_Real Oviedo
Aidoo_Celta,Aidoo Jr_Celta
Aihen_Real Sociedad,Aihen_Real Sociedad
Aitor_Osasuna,Aitor Fdez_Osasuna
Akhomach_Rayo,I. Akhomach_Rayo
Alaba_Real Madrid,Alaba_Real Madrid
Alemão_Rayo,Alemao_Rayo
Alexander-Arnold_Real Madrid,Trent_Real Madrid
Alexis_Sevilla,Alexis Sánchez_Sevilla
Aleñá_Alavés,Aleñá_Alavés
Alfon_Villarreal,Alfon_Villarreal
Alhassane_Real Oviedo,A. Rahim_Real Oviedo
Almada_Atlético,Almada_Atlético
Almeida_Valencia,Almeida_Valencia
Altimira_Betis,Altimira_Betis
Alvarez_Atlético,Julián Alvarez_Atlético
Alvaro R._Elche,Álvaro_Elche
André Silva_Elche,André Silva_Elche
Antonio_Mallorca,Antonio Sánchez_Mallorca
Antony_Betis,Antony_Betis
Arambarri_Getafe,Arambarri_Getafe
Aramburu_Real Sociedad,Aramburu_Real Sociedad
Araújo_Barcelona,R. Araujo_Barcelona
Areso_Athletic,Areso_Athletic
Aritz_Real Sociedad,Aritz_Real Sociedad
Arnau_Girona,Arnau_Girona
Arriaga_Levante,Arriaga_Levante
Artero_Girona,Andreev_Girona
Asano_Mallorca,Asano_Mallorca
Asencio_Real Madrid,Asencio_Real Madrid
Aspas_Celta,Iago Aspas_Celta
Ayoze_Villarreal,Ayoze_Villarreal
Azpilicueta_Sevilla,Azpilicueta_Sevilla
Baena_Atlético,Álex Baena_Atlético
Bailly_Real Oviedo,E. Bailly_Real Oviedo
Bakambu_Betis,Bakambu_Betis
Balde_Barcelona,Álex Balde_Barcelona
Balliu_Rayo,Balliu_Rayo
Bardghji_Barcelona,Bardghji_Barcelona
Barrenetxea_Real Sociedad,Barrenetxea_Real Sociedad
Barrios_Atlético,Barrios_Atlético
Bartra_Betis,Bartra_Betis
Batalla_Rayo,A. Batalla_Rayo
Bellerín_Betis,Bellerín_Betis
Bellingham_Real Madrid,Bellingham_Real Madrid
Beltrán_Girona,Fran Beltrán_Girona
Beltrán_Valencia,Lucas Beltrán_Valencia
Benito_Osasuna,I. Benito_Osasuna
Berenguer_Athletic,Berenguer_Athletic
Bergstrom_Mallorca,Bergstrom_Mallorca
Bernal_Barcelona,Marc Bernal_Barcelona
Bigas_Elche,R.P. Bigas_Elche
Birmancevic_Getafe,Birma_Getafe
Blanco_Alavés,Blanco_Alavés
Blind_Girona,Daley Blind_Girona
Boiro_Athletic,Maroan_Athletic
Borbas_Real Oviedo,T. Borbas_Real Oviedo
Boselli_Getafe,Boselli_Getafe
Boyomo_Osasuna,Boyomo_Osasuna
Boyé_Alavés,Lucas Boyé_Alavés
Boñar_Atlético,J. Boñar_Atlético
Brahim_Real Madrid,Brahim_Real Madrid
Brais_Real Sociedad,Brais Méndez_Real Sociedad
Bretones_Osasuna,Abel Bretones_Osasuna
Brugui_Levante,R. Brugué_Levante
Bryan Gil_Girona,Bryan Gil_Girona
Buchanan_Villarreal,Buchanan_Villarreal
Budimir_Osasuna,Budimir_Osasuna
C. Álvarez_Levante,C. Alvarez_Levante
Cabanes_Villarreal,Cabanes_Villarreal
Cabrera_Espanyol,Cabrera_Espanyol
Calebe_Alavés,Calebe_Alavés
Calero_Espanyol,F. Calero_Espanyol
Caleta-Car_Real Sociedad,Caleta-Car_Real Sociedad
Calvo_Real Oviedo,Dani Calvo_Real Oviedo
Camavinga_Real Madrid,Camavinga_Real Madrid
Camello_Rayo,Camello_Rayo
Cancelo_Barcelona,Cancelo_Barcelona
Cardoso_Atlético,Johnny_Atlético
Cardoso_Sevilla,Cardoso_Sevilla
Carlos Espí_Levante,C. Espí_Levante
Carlos Martín_Rayo,Carlos Martín_Rayo
Carlos Soler_Real Sociedad,C. Soler_Real Sociedad
Carmo_Real Oviedo,David Carmo_Real Oviedo
Carmona_Sevilla,Carmona_Sevilla
Carreira_Celta,Carreira_Celta
Carvajal_Real Madrid,Carvajal_Real Madrid
Casadó_Barcelona,M. Casadó_Barcelona
Castrín_Sevilla,A. Castrín_Sevilla
Catena_Osasuna,Catena_Osasuna
Cazorla_Real Oviedo,S. Cazorla_Real Oviedo
Ceballos_Real Madrid,D. Ceballos_Real Madrid
Cepeda_Elche,Cepeda_Elche
Cervi_Celta,Franco Cervi_Celta
Chaira_Real Oviedo,Ilyas_Real Oviedo
Chimy_Betis,Chimy Ávila_Betis
Chust_Elche,V. Chust_Elche
Colombatto_Real Oviedo,Colobatto_Real Oviedo
Comesaña_Villarreal,Comesaña_Villarreal
Conde_Villarreal,Diego Conde_Villarreal
Copete_Valencia,Copete_Valencia
Cortés_Levante,Paco Cortes_Levante
Costa_Villarreal,Costa_Villarreal
Costas_Real Oviedo,David Costas_Real Oviedo
Courtois_Real Madrid,Courtois_Real Madrid
Cubarsí_Barcelona,Pau Cubrasí_Barcelona
Cucho_Betis,Cucho_Betis
Cuéllar_Mallorca,Cuéllar_Mallorca
Cuñat Campos_Levante,P. Campos_Levante
Cárdenas_Rayo,D. Cárdenas_Rayo
Cömert_Valencia,Cömert_Valencia
D. Duarte_Getafe,Domingos Duar..._Getafe
D. Llorente_Betis,Llorente_Betis
Danjuma_Valencia,Danjuma_Valencia
Darder_Mallorca,Darder_Mallorca
David López_Girona,David López_Girona
David López_Mallorca,David López_Mallorca
Davinchi_Getafe,Davinchi_Getafe
De Frutos_Rayo,De Frutos_Rayo
De la Fuente_Levante,Dela_Levante
Dendoncker_Real Oviedo,Dendoncker_Real Oviedo
Denis Suárez_Alavés,Denis Suárez_Alavés
Deossa_Betis,Nelson Deossa_Betis
Diabaté_Alavés,Diabate_Alavés
Diakhaby_Valencia,Diakhaby_Valencia
Diangana_Elche,Grady Diangana_Elche
Diego López_Valencia,Diego López_Valencia
Diego Rico_Getafe,Rico_Getafe
Dimitrievski_Valencia,Dimitrievski_Valencia
Dituro_Elche,M. Dituro_Elche
Djené_Getafe,Djene_Getafe
Dmitrovic_Espanyol,Dmitrovic_Espanyol
Dolan_Espanyol,Dolan_Espanyol
Domínguez_Celta,C. Dominguez_Celta
Duro_Valencia,Hugo Duro_Valencia
Durán_Celta,Pablo Durán_Celta
Echeverri_Girona,Echeverri_Girona
Edu Expósito_Espanyol,Edu Expósito_Espanyol
Egiluz_Athletic,Egiluz_Athletic
Ejaria_Real Oviedo,Ejaria_Real Oviedo
Ejuke_Sevilla,Ejuke_Sevilla
El Hilali_Espanyol,El Hilali_Espanyol
El-Abdellaoui_Celta,El-Abdellaoui_Celta
Elgezabal_Levante,Elgezabal_Levante
Eric Garcia_Barcelona,Eric_Barcelona
Espino_Rayo,Pacha_Rayo
Etta Eyong_Levante,Etta Eyong_Levante
F. de Jong_Barcelona,F. De Jong_Barcelona
Febas_Elche,Febas_Elche
Femenia_Getafe,Kiko F._Getafe
Fer López_Celta,Fer López_Celta
Fermín_Barcelona,Fermín_Barcelona
Ferran_Barcelona,Ferran_Barcelona
Fidalgo_Betis,Fidalgo_Betis
Fonseca_Real Oviedo,Fonseca_Real Oviedo
Fornals_Betis,Fornals_Betis
Fort_Elche,Héctor Fort_Elche
Fortuño_Espanyol,A. Fortuño_Espanyol
Forés_Real Oviedo,A. Fores_Real Oviedo
Foulquier_Valencia,Foulquier_Valencia
Foyth_Villarreal,Foyth_Villarreal
Fraga_Real Sociedad,Fraga_Real Sociedad
Fran García_Real Madrid,Fran García_Real Madrid
Fran González_Real Madrid,Fran González_Real Madrid
Fran Pérez_Rayo,Fran Pérez_Rayo
Francés_Girona,Francés_Girona
Freeman_Villarreal,Freeman_Villarreal
Galán_Osasuna,Javi Galán_Osasuna
Garcés_Alavés,F. Garcés_Alavés
Gattoni_Sevilla,Gattoni_Sevilla
Gavi_Barcelona,Gavi_Barcelona
Gayà_Valencia,Gayá_Valencia
Gazzaniga_Girona,Gazzaniga_Girona
Gerard_Villarreal,Gerard_Villarreal
Giménez_Atlético,J.M. Giménez_Atlético
Giuliano_Atlético,Giuliano_Atlético
Gonzalo_Real Madrid,Gonzalo_Real Madrid
González_Atlético,Nico Gonzalez_Atlético
Gorosabel_Athletic,Gorosabel_Athletic
Gorrotxategi_Real Sociedad,Gorrotxa_Real Sociedad
Griezmann_Atlético,Griezmann_Atlético
Gudelj_Sevilla,Gudelj_Sevilla
Guedes_Real Sociedad,Guedes_Real Sociedad
Guevara_Alavés,Guevara_Alavés
Guido_Valencia,G. Rodríguez_Valencia
Gumbau_Rayo,Gumbau_Rayo
Guridi_Alavés,Guridi_Alavés
Guruzeta_Athletic,Guruzeta_Athletic
Güler_Real Madrid,Arda Güler_Real Madrid
Hancko_Atlético,Hancko_Atlético
Hassan_Real Oviedo,Hassan_Real Oviedo
Herrando_Osasuna,Herrando_Osasuna
Herrera_Osasuna,Sergio Herrera_Osasuna
Herrera_Real Sociedad,Herrera_Real Sociedad
Hugo Álvarez_Celta,Hugo Alvarez_Celta
Huijsen_Real Madrid,Huijsen_Real Madrid
I. Williams_Athletic,Iñaki Williams_Athletic
Ibáñez_Alavés,Ibañez_Alavés
Iglesias_Celta,B. Iglesias_Celta
Iglesias_Getafe,Juan Iglesias_Getafe
Iker Muñoz_Osasuna,Iker Muñoz_Osasuna
Iranzo_Valencia,Rubo_Valencia
Isco_Betis,Isco_Betis
Isi_Rayo,Isi_Rayo
Iturbe_Elche,A. Iturbe_Elche
Iván Martín_Girona,Iván Martín_Girona
Iván Romero_Levante,I. Romero_Levante
Iván Villar_Celta,Iván Villar_Celta
Izeta_Athletic,Izeta_Athletic
Januzaj_Sevilla,Januzaj_Sevilla
Jauregizar_Athletic,Jauregizar_Athletic
Javi Guerra_Valencia,Javi Guerra_Valencia
Javi López_Real Oviedo,Javi Lopéz_Real Oviedo
Javi Muñoz_Getafe,Javi Muñoz_Getafe
Javi Rodríguez_Celta,Javi Rodriguez_Celta
Jesús Vázquez_Valencia,J. Vázquez_Valencia
Joan Garcia_Barcelona,Joan García_Barcelona
Jofre_Espanyol,Jofre_Espanyol
John C._Elche,John C._Elche
Jon Martín_Real Sociedad,Jon Martin_Real Sociedad
Jonny_Alavés,Jonny Otto_Alavés
Jordan_Sevilla,Jordán_Sevilla
Josan_Elche,Josan_Elche
Joseph_Mallorca,Mateo Joseph_Mallorca
Juan Carlos_Girona,Juan Carlos_Girona
Juan Cruz_Osasuna,Juan Cruz_Osasuna
Juanlu_Sevilla,Juanlu_Sevilla
Juanmi_Getafe,Juanmi_Getafe
Julio Díaz_Atlético,Julio Díaz_Atlético
Junior_Betis,Junior_Betis
Jutglà_Celta,Ferran Jutglà_Celta
Kalumba_Mallorca,Kalumba Jr_Mallorca
Kamara_Getafe,Kamara_Getafe
Kambwala_Villarreal,Kambwala_Villarreal
Karrikaburu_Real Sociedad,Karrikaburu_Real Sociedad
Kike Barja_Osasuna,Kike Barja_Osasuna
Kike García_Espanyol,Kike García_Espanyol
Kike Salas_Sevilla,Kike Salas_Sevilla
Koke_Atlético,Koke_Atlético
Koski_Alavés,Koski_Alavés
Koundé_Barcelona,Kounde_Barcelona
Krapyvtsov_Girona,Krapyvtsov_Girona
Kubo_Real Sociedad,Kubo_Real Sociedad
Kumbulla_Mallorca,Kumbulla_Mallorca
L. Ilic_Real Oviedo,Ilic_Real Oviedo
Lago_Celta,Yoel Lago_Celta
Laporte_Athletic,Laporte_Athletic
Lass_Girona,Lass_Girona
Lato_Mallorca,Toni Lato_Mallorca
Le Normand_Atlético,Le Normand_Atlético
Lejeune_Rayo,Lejeune_Rayo
Lekue_Athletic,I. Lekue_Athletic
Lemar_Girona,Lemar_Girona
Lenglet_Atlético,Lenglet_Atlético
Leo Román_Mallorca,Leo Román_Mallorca
Letácek_Getafe,Letacek_Getafe
Lewandowski_Barcelona,Lewandowski_Barcelona
Liso_Getafe,A. Liso_Getafe
Llabrés_Mallorca,Javi Llabrés_Mallorca
Lo Celso_Betis,Lo Celso_Betis
Lookman_Atlético,Lookman_Atlético
Losada_Levante,Iker Losada_Levante
Lozano_Espanyol,Pol Lozano_Espanyol
Luis Milla_Getafe,L. Milla_Getafe
Luis Vázquez_Getafe,Luis Vázquez_Getafe
Luiz Felipe_Rayo,Luiz Felipe_Rayo
Luiz Junior_Villarreal,Júnior R._Villarreal
Lunin_Real Madrid,Lunin_Real Madrid
Luvumbo_Mallorca,Luvumbo_Mallorca
M. Alonso_Celta,Marcos Alonso_Celta
M. Llorente_Atlético,Marcos Llorente_Atlético
Maffeo_Mallorca,Maffeo_Mallorca
Manu Bueno_Sevilla,Manu Bueno_Sevilla
Manu Fernández_Celta,Manuel Fernán..._Celta
Manu Sánchez_Levante,Manu Sánchez_Levante
Marc Roca_Betis,Marc Roca_Betis
Marc Vidal_Celta,Marc Vidal_Celta
Marcão_Sevilla,Marcao_Sevilla
Mariano_Alavés,Mariano_Alavés
Mario Martín_Getafe,Mario Martín_Getafe
Marrero_Real Sociedad,Marrero_Real Sociedad
Martim Neto_Elche,Martim Neto_Elche
Martín_Barcelona,Gerard Martín_Barcelona
Marín_Real Sociedad,Marín_Real Sociedad
Mascarell_Mallorca,Mascarell_Mallorca
Mastantuono_Real Madrid,F. Mastantuono_Real Madrid
Matturro_Levante,Alan Matturo_Levante
Maupay_Sevilla,Maupay_Sevilla
Mayoral_Getafe,B. Mayoral_Getafe
Mbappé_Real Madrid,Mbappé_Real Madrid
Mendoza_Atlético,R. Mendoza_Atlético
Mendy_Rayo,N. Mendy_Rayo
Mendy_Real Madrid,F. Mendy_Real Madrid
Mendy_Sevilla,Mendy_Sevilla
Miguel Rubio_Espanyol,Miguel Rubio_Espanyol
Mikautadze_Villarreal,Mikautadze_Villarreal
Militão_Real Madrid,E. Militao_Real Madrid
Mingueza_Celta,O. Mingueza_Celta
Moi Gómez_Osasuna,Moi Gómez_Osasuna
Mojica_Mallorca,J. Mojica_Mallorca
Moldovan_Real Oviedo,Moldovan_Real Oviedo
Moleiro_Villarreal,A. Moleiro_Villarreal
Molina_Atlético,Molina_Atlético
Moncayola_Osasuna,Moncayola_Osasuna
Morales_Levante,A. J. Morales_Levante
Moreno_Levante,Matías Moreno_Levante
Morey_Mallorca,Morey_Mallorca
Moriba_Celta,Ilaix Moriba_Celta
Morlanes_Mallorca,Morlanes_Mallorca
Mouriño_Villarreal,Mouriño_Villarreal
Mumin_Rayo,A. Mumin_Rayo
Muriqi_Mallorca,Muriqi_Mallorca
Musso_Atlético,J. Musso_Atlético
N. Williams_Athletic,Nico Williams_Athletic
Nacho Pérez_Levante,Nacho Perez_Levante
Nacho Vidal_Real Oviedo,Nacho Vidal_Real Oviedo
Natan_Betis,Natan_Betis
Navarro_Athletic,Navarro_Athletic
Ngongé_Espanyol,Ngonge_Espanyol
Nianzou_Sevilla,Nianzou_Sevilla
Nteka_Rayo,Nteka_Rayo
Nyland_Sevilla,Nyland_Sevilla
Nyom_Getafe,Nyom_Getafe
Núñez_Valencia,Núñez_Valencia
Oblak_Atlético,Oblak_Atlético
Odriozola_Real Sociedad,Odriozola_Real Sociedad
Olasagasti_Levante,Olasagasti_Levante
Olmo_Barcelona,Dani Olmo_Barcelona
Oluwaseyi_Villarreal,Oluwaseyi_Villarreal
Oriol Rey_Levante,O. Rey_Levante
Oroz_Osasuna,Aimar_Osasuna
Ortiz_Betis,Á. Ortiz_Betis
Osambela_Osasuna,A. Osambela_Osasuna
Oso_Sevilla,Oso_Sevilla
Ounahi_Girona,Ounahi_Girona
Oyarzabal_Real Sociedad,Oyarzabal_Real Sociedad
P. Gueye_Villarreal,Gueye_Villarreal
Pablo García_Betis,Pablo García_Betis
Pablo Martínez_Levante,P. Martínez_Levante
Pablo Torre_Mallorca,Pablo Torre_Mallorca
Pacheco_Alavés,Pacheco_Alavés
Padilla_Athletic,Padilla_Athletic
Pampín_Levante,Pampin_Levante
Parada_Alavés,V. Parada_Alavés
Paredes_Athletic,Paredes_Athletic
Parejo_Villarreal,Parejo_Villarreal
Pathé Ciss_Rayo,Pathé I. Ciss_Rayo
Pau López_Betis,Pau López_Betis
Pau Navarro_Villarreal,Pau Navarro_Villarreal
Pedraza_Villarreal,A. Pedraza_Villarreal
Pedri_Barcelona,Pedri_Barcelona
Pedro Díaz_Rayo,Pedro Díaz_Rayo
Pedrosa_Elche,Pedrosa_Elche
Pep Chavarría_Rayo,Chavarría_Rayo
Pepelu_Valencia,Pepelu_Valencia
Peque_Sevilla,Peque_Sevilla
Pere Milla_Espanyol,Pere Milla_Espanyol
Peña_Elche,Iñaki Peña_Elche
Pickel_Espanyol,Pickel_Espanyol
Prados_Athletic,Prados_Athletic
Primo_Levante,A. Primo_Levante
Protesoni_Alavés,Protesoni_Alavés
Puado_Espanyol,Puado_Espanyol
Pubill_Atlético,Marc Pubill_Atlético
Pépé_Villarreal,Pepe_Villarreal
Pétrot_Elche,Léo Pétrot_Elche
R. de Galarreta_Athletic,De Galarreta_Athletic
Raba_Valencia,Raba_Valencia
Radu_Celta,Ionut Radu_Celta
Rafa Marín_Villarreal,Rafa Marín_Villarreal
Rafa Mir_Elche,Rafa Mir_Elche
Raghouber_Levante,Raghouber_Levante
Ramazani_Valencia,Ramazani_Valencia
Raphinha_Barcelona,Raphinha_Barcelona
Rashford_Barcelona,Rashford_Barcelona
Ratiu_Rayo,Ratiu_Rayo
Raul Moro_Osasuna,Raúl Moro_Osasuna
Raíllo_Mallorca,Raíllo_Mallorca
Raúl F._Alavés,Raúl Fernández_Alavés
Raúl García_Osasuna,Raúl_Osasuna
Rebbach_Alavés,A. Rebbach_Alavés
Redondo_Elche,Redondo_Elche
Rego_Athletic,Rego_Athletic
Reina_Real Oviedo,A. Reina_Real Oviedo
Remiro_Real Sociedad,Remiro_Real Sociedad
Riedel_Espanyol,Riedel_Espanyol
Rincón_Girona,H. Rincón_Girona
Rioja_Valencia,Rioja_Valencia
Riquelme_Betis,Riquelme_Betis
Ristic_Celta,Ristic_Celta
Rivero_Valencia,C. Rivero_Valencia
Roberto_Espanyol,Roberto_Espanyol
Roca_Espanyol,A. Roca_Espanyol
Roca_Girona,Joel Roca_Girona
Rodrygo_Real Madrid,Rodrygo_Real Madrid
Rodríguez_Betis,Rodríguez_Betis
Romero_Espanyol,C. Romero_Espanyol
Romero_Getafe,Zaid Romero_Getafe
Romero_Sevilla,Isaac_Sevilla
Román_Celta,M. Román_Celta
Rosier_Osasuna,V. Rosier_Osasuna
Rubén G._Osasuna,Rubén García_Osasuna
Rubén Sánchez_Espanyol,Rubén S._Espanyol
Rubén_Girona,Rubén Blanco_Girona
Rueda_Celta,Javi Rueda_Celta
Ruggeri_Atlético,Ruggeri_Atlético
Ruibal_Betis,Aitor Ruibal_Betis
Ryan_Levante,Ryan_Levante
Rüdiger_Real Madrid,Rüdiger_Real Madrid
S. Amrabat_Betis,Amrabat_Betis
S. Cardona_Villarreal,Cardona_Villarreal
Sadiq_Valencia,Sadiq_Valencia
Salas_Mallorca,Jan Salas_Mallorca
Salinas_Espanyol,Salias_Espanyol
Samú_Mallorca,Samu Costa_Mallorca
Sancet_Athletic,O. Sancet_Athletic
Sancris_Getafe,Álex Sancris_Getafe
Sangaré_Elche,B. Sangare_Elche
Sannadi_Athletic,Maroan_Athletic
Santamaria_Valencia,Santamaría_Valencia
Santiago_Elche,Y. Santiago_Elche
Saravia_Valencia,Saravia_Valencia
Satriano_Getafe,Satriano_Getafe
Sergio Gómez_Real Sociedad,Sergio Gómez_Real Sociedad
Serrano_Athletic,Nico Serrano_Athletic
Sibo_Real Oviedo,Sibo_Real Oviedo
Sivera_Alavés,Sivera_Alavés
Soria_Getafe,David Soria_Getafe
Sotelo_Celta,Hugo Sotelo_Celta
Sow_Sevilla,Sow_Sevilla
Starfelt_Celta,Starfelt_Celta
Stuani_Girona,Stuani_Girona
Suazo_Sevilla,Suazo_Sevilla
Sucic_Real Sociedad,Sucic_Real Sociedad
Swedberg_Celta,Williot_Celta
Szczesny_Barcelona,Szczesny_Barcelona
Sörloth_Atlético,Sørloth_Atlético
Tchouaméni_Real Madrid,Tchouaméni_Real Madrid
Tenaglia_Alavés,Tenaglia_Alavés
Tenas_Villarreal,Arnau Tenas_Villarreal
Ter Stegen_Girona,Ter Stegen_Girona
Terrats_Espanyol,R. Terrats_Espanyol
Tete Morente_Elche,T. Morente_Elche
Thiago_Real Madrid,Thiago Pitarch_Real Madrid
Thiago_Real Oviedo,Thiago Fernánd..._Real Oviedo
Thierry_Valencia,Thierry Correia_Valencia
Thomas_Villarreal,Thomas Partey_Villarreal
Toljan_Levante,Jeremy Toljan_Levante
Toni Martinez_Alavés,T. Martinez_Alavés
Torró_Osasuna,Torró_Osasuna
Trejo_Rayo,Trejo_Rayo
Tsygankov_Girona,Tsygankov_Girona
Tunde_Levante,K. Tunde_Levante
Turrientes_Real Sociedad,Turrientes_Real Sociedad
Tárrega_Valencia,Tárrega_Valencia
Ugrinic_Valencia,Ugrinic_Valencia
Unai Gómez_Athletic,Unai G._Athletic
Unai López_Rayo,Unai Lopez_Rayo
Unai Simón_Athletic,Unai Simón_Athletic
Urko_Espanyol,Urko_Espanyol
Valentín Gómez_Betis,Valentín Gómez_Betis
Valentín_Rayo,Óscar Valentín_Rayo
Valera_Elche,German V._Elche
Valjent_Mallorca,Valjent_Mallorca
