Clave_Jugador,Posicion
A. Christensen_Barcelona,Defensa
A. F. Carreras_Real Madrid,Defensa
A. Riquelme_Getafe,Mediocampista
Aarón_Real Oviedo,Portero
Abde_Betis,Delantero
Abdon_Mallorca,Delantero
Abel Ruiz_Girona,Delantero
Abqar_Getafe,Defensa
Adam Boayar_Elche,Mediocampista
Adams_Sevilla,Delantero
Adrián_Betis,Portero
Affengruber_Elche,Defensa
Agirrezabala_Valencia,Portero
Agoume_Sevilla,Mediocampista
Aguado_Elche,Mediocampista
Agudín_Real Oviedo,Delantero
Ahijado_Real Oviedo,Defensa
Aidoo_Celta,Defensa
Aihen_Real Sociedad,Defensa
Aitor Mañas_Alavés,Delantero
Aitor_Osasuna,Portero
Akhomach_Rayo,Delantero
Alaba_Real Madrid,Defensa
Alemão_Rayo,Delantero
Alexander-Arnold_Real Madrid,Defensa
Alexis_Sevilla,Delantero
Aleñá_Alavés,Mediocampista
Alfon_Villarreal,Delantero
Alhassane_Real Oviedo,Defensa
Almada_Atlético,Mediocampista
Almeida_Valencia,Mediocampista
Altimira_Betis,Mediocampista
Alvarez_Atlético,Delantero
Alvaro R._Elche,Delantero
André Silva_Elche,Delantero
Antonio_Mallorca,Mediocampista
Antony_Betis,Delantero
Arambarri_Getafe,Mediocampista
Aramburu_Real Sociedad,Defensa
Araújo_Barcelona,Defensa
Areso_Athletic,Defensa
Aritz_Real Sociedad,Defensa
Arnau_Girona,Defensa
Arriaga_Levante,Mediocampista
Artero_Girona,Portero
Asano_Mallorca,Delantero
Asencio_Real Madrid,Defensa
Aspas_Celta,Delantero
Ayoze_Villarreal,Delantero
Azpilicueta_Sevilla,Defensa
Baena_Atlético,Mediocampista
Bailly_Real Oviedo,Defensa
Bakambu_Betis,Delantero
Balde_Barcelona,Defensa
Balliu_Rayo,Defensa
Bardghji_Barcelona,Delantero
Barrenetxea_Real Sociedad,Mediocampista
Barrios_Atlético,Mediocampista
Bartra_Betis,Defensa
Batalla_Rayo,Portero
Bellerín_Betis,Defensa
Bellingham_Real Madrid,Mediocampista
Beltrán_Girona,Mediocampista
Beltrán_Valencia,Mediocampista
Benito_Osasuna,Delantero
Berenguer_Athletic,Delantero
Bergstrom_Mallorca,Portero
Bernal_Barcelona,Mediocampista
Bigas_Elche,Defensa
Birmancevic_Getafe,Delantero
Blanco_Alavés,Mediocampista
Blind_Girona,Defensa
Boiro_Athletic,Defensa
Borbas_Real Oviedo,Delantero
Boselli_Getafe,Defensa
Boyomo_Osasuna,Defensa
Boyé_Alavés,Delantero
Boñar_Atlético,Defensa
Brahim_Real Madrid,Mediocampista
Brais_Real Sociedad,Mediocampista
Bretones_Osasuna,Defensa
Brugui_Levante,Delantero
Bryan Gil_Girona,Delantero
Buchanan_Villarreal,Mediocampista
Budimir_Osasuna,Delantero
C. Álvarez_Levante,Mediocampista
