Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
A. Alti,3.0,Villarreal,Defensa,2
A. Batalla,18.0,Rayo,Portero,140
A. Castrín,8.0,Sevilla,Defensa,40
A. Ferllo,1.2,Sevilla,Portero,0
A. Fores,4.0,Real Oviedo,Delantero,26
A. Fortuño,1.0,Espanyol,Portero,0
A. abqar,8.0,Getafe,Defensa,45
Hugo Sotelo,10.0,Celta,Mediocampista,65
Huijsen,19.0,Real Madrid,Defensa,113
Huseini,1.0,Levante,Defensa,0
Héctor Fort,8.0,Elche,Defensa,36
I. Akhomach,5.0,Villarreal,Delantero,32
I. Benito,5.0,Osasuna,Delantero,19
I. Lekue,5.0,Athletic,Defensa,13
Álex Sancris,6.0,Getafe,Delantero,36
Álvaro,14.0,Elche,Delantero,113
Álvaro García,12.0,Rayo,Mediocampista,109
Álvaro García,0.2,Alavés,Defensa,0
Álvaro Nuñez,16.0,Elche,Defensa,108
Óscar Marcos,0.35,Celta,Delantero,0
Óscar Valentín,11.0,Rayo,Mediocampista,85
