Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
A. Abqar,8.0,Getafe,Defensa,52
A. Arcos,0.25,Celta,Mediocampista,0
A. Batalla,17.0,Rayo,Portero,164
A. Castrín,8.0,Sevilla,Defensa,43
A. Fores,4.0,Real Oviedo,Delantero,27
A. Fortuño,1.0,Espanyol,Portero,0
A. Iturbe,1.0,Elche,Portero,0
A. J Morales,5.0,Levante,Delantero,50
A. Liso,9.0,Getafe,Delantero,67
A. Martinez,0.3,Elche,Mediocampista,0
A. Moleiro,21.0,Villarreal,Mediocampista,176
A. Mumin,1.0,Rayo,Defensa,0
A. Osambela,5.0,Osasuna,Mediocampista,31
A. Pedraza,9.0,Villarreal,Defensa,81
A. Primo UUSuIB,1.0,Levante,Portero,0
A. Rahim,9.0,Real Oviedo,Defensa,57
A. Rebbach,7.0,Alavés,Delantero,58
A. Reina,10.0,Real Oviedo,Mediocampista,101
A. Riquelme,1.0,Getafe,Mediocampista,0
A. Roca,3.0,Espanyol,Mediocampista,10
Aarón,25.0,Real Oviedo,Portero,202
Abdón,3.0,Mallorca,Delantero,15
Abel Bretones,9.0,Osasuna,Defensa,65
Abel Ruiz,3.0,Girona,Delantero,10
Adam B.,4.0,Elche,Mediocampista,19
Adama,5.0,Athletic,Defensa,18
Adrián,1.0,Betis,Portero,0
Adrián D,0.2,Athletic,Delantero,0
Adrián Molina,1.0,Rayo,Portero,0
Affengruber,10.0,Elche,Defensa,103
Agirrezabala,17.0,Valencia,Portero,104
Agoumé,10.0,Sevilla,Mediocampista,98
Aguirre,1.0,Real Sociedad,Mediocampista,0
Aidoo Jr,7.0,Celta,Defensa,26
Aihen,5.0,Real Sociedad,Defensa,29
Aimar,10.0,Osasuna,Mediocampista,91
Aimar Blázquez,1.0,Valencia,Delantero,0
Aitor Fdez,1.0,Osasuna,Portero,-2
Aitor Ruibal,14.0,Betis,Delantero,115
Akor,11.0,Sevilla,Delantero,107
Alaba,4.0,Real Madrid,Defensa,18
Alan Matturro UUrutib,7.0,Levante,Defensa,50
Alassane,1.0,Villarreal,Mediocampista,0
Albert,1.0,Elche,Defensa,0
Alberto F.,1.0,Sevilla,Portero,0
Alemo,6.0,Rayo,Delantero,37
Alex Costa DE,1.0,Sevilla,Delantero,0
Alex Marchal,0.3,Real Sociedad,Mediocampista,0
Alex Moreno,10.0,Girona,Defensa,89
Alexis Sánchez DE,8.0,Sevilla,Delantero,72
Aleñá,10.0,Alavés,Mediocampista,116
Alfon D,5.0,Villarreal,Delantero,35
Almada,9.0,Atlético,Mediocampista,98
Almeida,8.0,Valencia,Mediocampista,71
Altimira,8.0,Betis,Mediocampista,67
Amrabat,7.0,Betis,Mediocampista,32
Andreev,1.0,Girona,Portero,0
André Silva,10.0,Elche,Delantero,100
Antañón,0.3,Celta,Mediocampista,0
Antonio Sánchez,6.0,Mallorca,Mediocampista,46
Antony,23.0,Betis,Delantero,160
Arambarri,15.0,Getafe,Mediocampista,151
Aramburu,9.0,Real Sociedad,Defensa,60
Arango,4.0,Girona,Delantero,3
Arda Gler,26.0,Real Madrid,Mediocampista,210
Areso,9.0,Athletic,Defensa,74
Arguibide,4.0,Osasuna,Defensa,17
Aritz,4.0,Real Sociedad,Defensa,18
Arnau,12.0,Girona,Defensa,124
Arnau Tenas,4.0,Villarreal,Portero,7
Arriaga,9.0,Levante,Mediocampista,68
Asano,5.0,Mallorca,Delantero,30
Asencio,12.0,Real Madrid,Defensa,93
Asier Hierro Ctc,3.0,Athletic,Delantero,2
Astiazaran,0.25,Real Sociedad,Mediocampista,0
Ayoze,8.0,Villarreal,Delantero,66
Azpilicueta,8.0,Sevilla,Defensa,48
B. Iglesias,16.0,Celta,Delantero,139
B. Mayoral,9.0,Getafe,Delantero,67
B. Sangare,5.0,Elche,Defensa,2
Bakambu,6.0,Betis,Delantero,46
Ballestero,2.0,Alavés,Defensa,1
Balliu,4.0,Rayo,Defensa,16
Bardghji,6.0,Barcelona,Delantero,51
Barrenetxea,12.0,Real Sociedad,Mediocampista,115
Barrios,17.0,Atlético,Mediocampista,123
Barry,0.3,Villarreal,Mediocampista,0
Bartra,16.0,Betis,Defensa,125
Becerra,3.0,Rayo,Mediocampista,5
Beitia,1.0,Real Sociedad,Defensa,0
Bellerín,10.0,Betis,Defensa,80
Bellingham,26.0,Real Madrid,Mediocampista,137
Bema Sina,0.3,Elche,Defensa,0
Berenguer DI,14.0,Athletic,Delantero,123
Bergstrom,9.0,Mallorca,Portero,36
Birma,3.0,Getafe,Delantero,4
Bladi,0.35,Betis,Defensa,0
Blanco,10.0,Alavés,Mediocampista,113
Boselli,5.0,Getafe,Defensa,14
Boyomo,10.0,Osasuna,Defensa,88
Brahim,7.0,Real Madrid,Mediocampista,82
Brais Méndez,12.0,Real Sociedad,Mediocampista,118
Bryan Gil,10.0,Girona,Delantero,94
Buchanan,11.0,Villarreal,Mediocampista,125
Bujan,0.25,Athletic,Delantero,0
Burcio,1.0,Celta,Mediocampista,0
C. Alvarez,10.0,Levante,Mediocampista,104
C. Dominguez,6.0,Celta,Defensa,25
C. Espí D,6.0,Levante,Delantero,57
C. Rivero,1.0,Valencia,Portero,-3
C. Romero,13.0,Espanyol,Defensa,132
C. Soler,16.0,Real Sociedad,Mediocampista,131
Cabanes DI,1.0,Villarreal,Delantero,0
Cabrera,10.0,Espanyol,Defensa,121
Calebe,7.0,Alavés,Mediocampista,48
Caleta-Car,10.0,Real Sociedad,Defensa,79
Camavinga,10.0,Real Madrid,Mediocampista,93
Camello,5.0,Rayo,Delantero,23
Cancelo,12.0,Barcelona,Defensa,52
Cardona,10.0,Villarreal,Defensa,88
Cardoso,7.0,Sevilla,Defensa,20
Carlos Maci,3.0,Villarreal,Mediocampista,5
Carlos Martín,4.0,Rayo,Mediocampista,10
Carmona,9.0,Sevilla,Defensa,83
Carreira,10.0,Celta,Defensa,105
Carvajal,7.0,Real Madrid,Defensa,40
Catena,16.0,Osasuna,Defensa,144
Cayetano,1.0,Levante,Portero,0
Cepeda,6.0,Elche,Delantero,16
Cestero,2.0,Real Madrid,Mediocampista,2
Chavarría,10.0,Rayo,Defensa,107
Cheli,1.0,Real Oviedo,Mediocampista,0
Chimy Ávila D,5.0,Betis,Delantero,27
