Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
A. abqar,8.0,Getafe,Defensa,66
A. Arcos,0.25,Celta,Mediocampista,0
A. Batalla,19.0,Rayo,Portero,192
A. Castrín,9.0,Sevilla,Defensa,68
A. Fores,4.0,Real Oviedo,Delantero,28
A. Fortuño,1.0,Espanyol,Portero,0
A. Iturbe,1.0,Elche,Portero,0
A. J. Morales,5.0,Levante,Delantero,50
A. Liso,8.0,Getafe,Delantero,80
A. Martinez,0.3,Elche,Mediocampista,0
A. Moleiro,19.0,Villarreal,Mediocampista,201
A. Mumin,2.0,Rayo,Defensa,1
A. Osambela,4.0,Osasuna,Mediocampista,32
A. Pedraza,9.0,Villarreal,Defensa,100
A. Primo,1.0,Levante,Portero,0
A. Rahim,8.0,Real Oviedo,Defensa,61
A. Rebbach,8.0,Alavés,Delantero,92
A. Reina,9.0,Real Oviedo,Mediocampista,141
A. Riquelme,1.0,Getafe,Mediocampista,0
A. Roca,3.0,Espanyol,Mediocampista,15
Aarón,25.0,Real Oviedo,Portero,241
Abdón,3.0,Mallorca,Delantero,17
Abel Bretones,8.0,Osasuna,Defensa,76
Abel Ruiz,4.0,Girona,Delantero,18
Adam B.,4.0,Elche,Mediocampista,19
Adama,5.0,Athletic,Defensa,23
Adrián,1.0,Betis,Portero,0
Adrián,0.2,Athletic,Delantero,0
Adrián Molina,1.0,Rayo,Portero,0
Affengruber,10.0,Elche,Defensa,143
Agirrezabala,17.0,Valencia,Portero,104
Agoumé,9.0,Sevilla,Mediocampista,117
Aguirre,2.0,Real Sociedad,Mediocampista,1
Aidoo Jr,6.0,Celta,Defensa,26
Aihen,6.0,Real Sociedad,Defensa,35
Aimar,9.0,Osasuna,Mediocampista,112
Aimar Blázquez,1.0,Valencia,Delantero,0
Aitor Fdez,1.0,Osasuna,Portero,-2
Aitor Ruibal,12.0,Betis,Delantero,127
Akor,10.0,Sevilla,Delantero,122
Alaba,4.0,Real Madrid,Defensa,19
Alan Matturo,7.0,Levante,Defensa,57
Alassane,1.0,Villarreal,Mediocampista,0
Albert,1.0,Elche,Defensa,0
Alberto F.,1.0,Sevilla,Portero,0
Alemao,7.0,Rayo,Delantero,56
Alex Costa,1.0,Sevilla,Delantero,0
Alex Marchal,0.3,Real Sociedad,Mediocampista,0
Alex Moreno,9.0,Girona,Defensa,98
Alexis Sánchez,8.0,Sevilla,Delantero,83
Aleñá,9.0,Alavés,Mediocampista,127
Alfon,6.0,Villarreal,Delantero,55
Almada,9.0,Atlético,Mediocampista,105
Almeida,8.0,Valencia,Mediocampista,82
Altimira,8.0,Betis,Mediocampista,79
Amrabat,9.0,Betis,Mediocampista,58
Andreev,1.0,Girona,Portero,0
André Silva,12.0,Elche,Delantero,135
