ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20443,2025/26,38,Celta,Lago,Desconocido,22,ES,70%,Sano,11,0,0,0,4,0,1.3,34,3.1,5,4,10
20443,2025/26,38,Celta,Jutglà,Desconocido,27,ES,60%,Sano,29,9,3,0,4,0,1.5,138,4.8,1,13,3
20443,2025/26,38,Celta,M. Alonso,Desconocido,35,ES,90%,Sano,31,1,0,0,5,0,1.1,182,5.9,7,2,8
20443,2025/26,38,Celta,Fer López,Desconocido,21,ES,60%,Sano,16,1,0,0,3,0,1,54,3.4,4,2,3
20443,2025/26,38,Celta,Carreira,Desconocido,25,ES,60%,Sano,33,2,1,0,2,0,1,119,3.6,2,1,2
20443,2025/26,38,Celta,Moriba,Desconocido,23,GN,70%,Sano,35,1,3,0,7,0,2,126,3.6,10,0,6
20443,2025/26,38,Celta,Swedberg,Desconocido,22,SE,50%,Sano,28,5,5,0,2,0,1.1,129,4.6,10,2,10
20443,2025/26,38,Celta,Aspas,Desconocido,38,ES,50%,Sano,31,5,3,0,4,0,1,137,4.4,2,4,2
20443,2025/26,38,Celta,Radu,Portero,28,RO,95%,Sano,37,0,0,2,2,0,1.9,241,6.5,12,2,11
20443,2025/26,38,Celta,Javi Rodríguez,Desconocido,22,ES,80%,Sano,32,0,1,0,5,0,1.1,124,3.9,6,0,8
20443,2025/26,38,Celta,Rueda,Desconocido,24,ES,60%,Sano,25,2,6,0,6,0,1.2,124,5,0,7,0
20443,2025/26,38,Celta,Mingueza,Desconocido,27,ES,50%,Sano,33,1,4,0,4,0,1.2,131,4,1,5,10
20443,2025/26,38,Celta,Iglesias,Desconocido,33,ES,50%,Sano,34,14,2,0,7,0,1.2,171,5,1,1,10
20443,2025/26,38,Celta,Durán,Desconocido,24,ES,40%,Sano,29,2,2,0,1,0,1,96,3.3,2,2,8
20443,2025/26,38,Celta,Hugo Álvarez,Desconocido,22,ES,40%,Sano,27,4,2,0,2,0,1.3,110,4.1,2,8,2
20443,2025/26,38,Celta,Vecino,Desconocido,34,UY,40%,Sano,5,0,0,0,0,0,-1,9,1.8,2,0,0
20443,2025/26,38,Celta,Á. Núñez,Desconocido,25,ES,30%,Sano,6,0,0,0,0,0,1,125,5,0,0,7
20443,2025/26,38,Celta,Domínguez,Desconocido,25,ES,30%,Sano,8,0,0,0,1,0,-1,24,3,0,0,0
20443,2025/26,38,Celta,Sotelo,Desconocido,22,ES,30%,Sano,20,0,2,0,3,0,1,84,4.2,0,1,0
20443,2025/26,38,Celta,Manu Fernández,Desconocido,25,ES,20%,Sano,14,0,0,0,2,0,-1,42,3,0,0,0
20443,2025/26,38,Celta,El-Abdellaoui,Desconocido,20,MA,10%,Sano,22,2,0,0,0,0,1,55,2.5,0,1,0
20443,2025/26,38,Celta,Aidoo,Desconocido,30,GH,10%,Sano,8,0,0,0,0,0,-1,26,3.3,0,0,0
20443,2025/26,38,Celta,Iván Villar,Desconocido,28,ES,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20443,2025/26,38,Celta,Cervi,Desconocido,31,AR,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20443,2025/26,38,Celta,Ristic,Desconocido,30,RS,0%,Sano,5,0,0,0,0,0,-1,15,3,0,0,2
20443,2025/26,38,Celta,Marc Vidal,Desconocido,26,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20443,2025/26,38,Celta,Starfelt,Desconocido,30,SE,0%,Lesionado/Duda,19,0,0,0,3,1,-1,106,5.6,0,0,0
