ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20313,2025/26,25,Local,Navarro,Desconocido,23,ES,50%,Sano,20,5,1,0,1,0,1.5,87,4.4,2,8,1
20313,2025/26,25,Local,Guruzeta,Desconocido,29,ES,80%,Sano,21,4,1,0,4,1,1.5,88,4.2,1,16,4
20313,2025/26,25,Local,Sancet,Desconocido,25,ES,80%,Sano,17,2,0,0,2,1,2,57,3.4,9,0,0
20313,2025/26,25,Local,I. Williams,Desconocido,31,GH,90%,Sano,16,1,2,0,1,0,1.3,65,4.1,3,14,1
20313,2025/26,25,Local,Rego,Desconocido,22,ES,70%,Sano,16,1,0,0,4,0,1,35,2.2,0,-2,2
20313,2025/26,25,Local,R. de Galarreta,Desconocido,32,ES,90%,Sano,22,1,1,0,9,0,1.7,92,4.2,2,11,12
20313,2025/26,25,Local,Laporte,Desconocido,31,ES,70%,Sano,13,0,1,0,2,0,1.8,60,4.6,7,1,0
20313,2025/26,25,Local,Yuri,Desconocido,36,ES,70%,Sano,21,0,2,0,3,0,1.3,103,4.9,10,4,8
20313,2025/26,25,Local,Paredes,Desconocido,25,ES,60%,Sano,17,1,0,0,4,0,1,83,4.9,4,6,4
20313,2025/26,25,Local,Gorosabel,Desconocido,29,ES,70%,Sano,13,0,1,0,2,0,1.2,34,2.6,8,1,2
20313,2025/26,25,Local,Unai Simón,Portero,28,ES,95%,Sano,24,0,0,1,0,0,1.4,138,5.8,4,2,6
20313,2025/26,25,Local,Serrano,Desconocido,22,ES,50%,Sano,11,1,0,0,0,0,1.6,35,3.2,3,13,0
20313,2025/26,25,Local,Vivian,Desconocido,26,ES,50%,Sano,19,0,0,0,6,1,-1,75,3.9,0,0,0
20313,2025/26,25,Local,Vesga,Desconocido,32,ES,40%,Sano,14,0,0,0,0,0,1,28,2,2,0,0
20313,2025/26,25,Local,Areso,Desconocido,26,ES,30%,Sano,20,0,1,0,3,0,1,70,3.5,3,0,3
20313,2025/26,25,Local,Boiro,Desconocido,23,ES,30%,Sano,8,0,0,0,1,0,1.3,15,1.9,0,0,4
20313,2025/26,25,Local,Lekue,Desconocido,32,ES,30%,Sano,7,0,0,0,1,2,1,14,2,0,2,0
20313,2025/26,25,Local,Unai Gómez,Desconocido,22,ES,20%,Sano,16,1,1,0,0,0,1,33,2.1,2,0,3
20313,2025/26,25,Local,Izeta,Desconocido,26,ES,10%,Sano,9,0,0,0,2,0,1.5,12,1.3,0,0,0
20313,2025/26,25,Local,Selton,Desconocido,19,ES,10%,Sano,5,0,1,0,0,0,1,13,2.6,0,5,0
20313,2025/26,25,Local,Padilla,Desconocido,22,MX,5%,Sano,0,0,0,0,0,1,-1,-3,0,0,0,0
20313,2025/26,25,Local,Jauregizar,Desconocido,22,ES,0%,Lesionado/Duda,24,2,0,0,2,0,1.7,118,4.9,11,5,4
20313,2025/26,25,Local,N. Williams,Desconocido,23,ES,0%,Lesionado/Duda,19,4,2,0,1,0,1.6,121,6.4,0,7,4
20313,2025/26,25,Local,Berenguer,Desconocido,30,ES,0%,Lesionado/Duda,20,2,2,0,3,0,1,107,5.4,0,0,3
20313,2025/26,25,Local,Sannadi,Desconocido,25,MA,0%,Lesionado/Duda,8,1,0,0,1,0,-1,17,2.1,0,0,0
20313,2025/26,25,Local,Prados,Desconocido,25,ES,0%,Lesionado/Duda,2,0,0,0,1,0,-1,6,3,0,0,0
20313,2025/26,25,Local,Egiluz,Desconocido,23,ES,0%,Lesionado/Duda,,,,,,,-1,0,0,0,0,0
20313,2025/26,25,Local,Yeray,Desconocido,31,ES,0%,Lesionado/Duda,,,,,,,-1,0,0,0,0,0
20313,2025/26,25,Visitante,Alvaro R.,Desconocido,21,UY,80%,Sano,21,5,4,0,0,0,1.6,109,5.2,5,3,8
20313,2025/26,25,Visitante,Chust,Desconocido,25,ES,70%,Sano,18,0,0,0,7,1,1.5,54,3,8,0,3
20313,2025/26,25,Visitante,Dituro,Portero,38,AR,60%,Sano,8,0,0,0,1,0,1,57,7.1,10,0,0
20313,2025/26,25,Visitante,Valera,Desconocido,23,ES,90%,Sano,23,4,3,0,2,0,1.7,141,6.1,7,1,9
20313,2025/26,25,Visitante,Aguado,Desconocido,25,ES,70%,Sano,23,0,1,0,2,0,1,89,3.9,5,2,0
20313,2025/26,25,Visitante,Febas,Desconocido,30,ES,95%,Sano,23,2,1,0,6,0,2,124,5.4,9,0,0
20313,2025/26,25,Visitante,André Silva,Desconocido,30,PT,80%,Sano,18,5,0,0,1,0,1.1,81,4.5,5,9,1
20313,2025/26,25,Visitante,Bigas,Desconocido,35,ES,90%,Sano,17,0,2,0,2,0,1.3,88,5.2,10,2,0
20313,2025/26,25,Visitante,Affengruber,Desconocido,24,AT,50%,Sano,22,0,0,0,5,1,1.2,94,4.3,0,-1,-1
20313,2025/26,25,Visitante,Tete Morente,Desconocido,29,ES,70%,Sano,1,0,0,0,1,0,1,1,1,1,0,0
20313,2025/26,25,Visitante,Cepeda,Desconocido,23,CL,60%,Sano,3,0,0,0,0,0,1.2,10,3.3,5,3,2
20313,2025/26,25,Visitante,Pétrot,Desconocido,28,FR,50%,Sano,21,0,0,0,1,0,1,47,2.2,7,1,2
