ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Precio_Fantastica,Puntos_PFSY
20317,2025/26,25,Alavés,Ibáñez,Desconocido,27,ES,70%,Sano,24.0,1.0,1.0,0.0,4.0,0.0,1.3,97,4.0,4.0,1,6.0,11.0,97.0
20317,2025/26,25,Alavés,Boyé,Desconocido,29,AR,90%,Sano,18.0,5.0,1.0,0.0,2.0,1.0,1.5,98,5.4,4.0,2,11.0,15.0,98.0
20317,2025/26,25,Alavés,Aleñá,Desconocido,28,ES,80%,Sano,24.0,0.0,4.0,0.0,3.0,0.0,1.2,100,4.2,11.0,5,9.0,11.0,100.0
20317,2025/26,25,Alavés,Toni Martinez,Desconocido,28,ES,80%,Sano,23.0,5.0,2.0,0.0,0.0,0.0,1.7,110,4.8,11.0,2,11.0,12.0,110.0
20317,2025/26,25,Alavés,Garcés,Desconocido,26,MY,80%,Sano,9.0,0.0,0.0,0.0,3.0,0.0,0.8,43,4.8,4.0,3,4.0,9.0,43.0
20317,2025/26,25,Alavés,Blanco,Desconocido,25,ES,60%,Sano,22.0,1.0,1.0,0.0,5.0,0.0,1.3,98,4.5,3.0,3,12.0,11.0,98.0
20317,2025/26,25,Alavés,Tenaglia,Desconocido,29,AR,90%,Sano,22.0,1.0,0.0,0.0,2.0,0.0,1.0,105,4.8,5.0,-1,0.0,12.0,105.0
20317,2025/26,25,Alavés,Pacheco,Desconocido,25,ES,95%,Sano,18.0,0.0,0.0,0.0,3.0,0.0,1.0,73,4.1,5.0,0,8.0,11.0,73.0
20317,2025/26,25,Alavés,Sivera,Portero,29,ES,95%,Sano,24.0,0.0,0.0,0.0,0.0,0.0,1.3,116,4.8,5.0,5,5.0,12.0,116.0
20317,2025/26,25,Alavés,Jonny,Desconocido,31,ES,80%,Sano,23.0,0.0,0.0,0.0,5.0,0.0,0.9,79,3.4,0.0,-1,1.0,10.0,79.0
20317,2025/26,25,Alavés,Ángel Pérez,Desconocido,23,ES,50%,Sano,2.0,0.0,0.0,0.0,0.0,0.0,1.6,5,2.5,2.0,3,0.0,,
20317,2025/26,25,Alavés,Calebe,Desconocido,25,BR,50%,Sano,16.0,0.0,0.0,0.0,2.0,0.0,1.2,47,2.9,1.0,5,3.0,7.0,47.0
20317,2025/26,25,Alavés,Guevara,Desconocido,28,ES,40%,Sano,16.0,1.0,0.0,0.0,2.0,0.0,1.8,45,2.8,3.0,0,3.0,6.0,45.0
20317,2025/26,25,Alavés,Denis Suárez,Desconocido,32,ES,40%,Sano,19.0,1.0,0.0,0.0,4.0,0.0,0.7,59,3.1,2.0,2,0.0,8.0,59.0
20317,2025/26,25,Alavés,Rebbach,Desconocido,27,DZ,30%,Sano,19.0,0.0,0.0,0.0,4.0,0.0,1.0,55,2.9,0.0,2,0.0,7.0,55.0
20317,2025/26,25,Alavés,Parada,Desconocido,23,ES,25%,Sano,17.0,0.0,1.0,0.0,6.0,0.0,1.0,31,1.8,0.0,0,0.0,8.0,31.0
20317,2025/26,25,Alavés,Guridi,Desconocido,30,ES,20%,Sano,16.0,0.0,0.0,0.0,0.0,0.0,1.2,31,1.9,2.0,0,2.0,5.0,31.0
20317,2025/26,25,Alavés,Youssef,Desconocido,20,MA,20%,Sano,18.0,0.0,0.0,0.0,2.0,0.0,1.4,49,2.7,3.0,3,2.0,8.0,49.0
20317,2025/26,25,Alavés,Raúl F.,Desconocido,37,ES,5%,Sano,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0.0,0.0,0,0.0,1.0,0.0
20317,2025/26,25,Alavés,Protesoni,Desconocido,27,UY,0%,Lesionado/Duda,7.0,0.0,0.0,0.0,2.0,1.0,1.0,15,2.1,0.0,0,2.0,4.0,15.0
20317,2025/26,25,Alavés,Mariano,Desconocido,32,DO,0%,Sano,9.0,0.0,0.0,0.0,1.0,0.0,-1.0,17,1.9,0.0,0,0.0,4.0,17.0
20317,2025/26,25,Alavés,Diabaté,Desconocido,26,CI,0%,Sano,,,,,,,-1.0,0,0.0,0.0,0,0.0,,
20317,2025/26,25,Alavés,Koski,Desconocido,24,FI,0%,Lesionado/Duda,,,,,,,-1.0,0,0.0,0.0,0,0.0,,
20313,2025/26,25,Athletic,Navarro,Desconocido,23,ES,50%,Sano,20.0,5.0,1.0,0.0,1.0,0.0,1.5,87,4.4,2.0,8,1.0,8.0,89.0
20313,2025/26,25,Athletic,Guruzeta,Desconocido,29,ES,80%,Sano,21.0,4.0,1.0,0.0,4.0,1.0,1.5,88,4.2,1.0,16,4.0,11.0,103.0
20313,2025/26,25,Athletic,Sancet,Desconocido,25,ES,80%,Sano,17.0,2.0,0.0,0.0,2.0,1.0,2.0,57,3.4,9.0,0,0.0,9.0,61.0
20313,2025/26,25,Athletic,I. Williams,Desconocido,31,GH,90%,Sano,16.0,1.0,2.0,0.0,1.0,0.0,1.3,65,4.1,3.0,14,1.0,10.0,67.0
