ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20326,2025/26,26,Levante,1,Luis Castro,20%,60%,86.8%
20326,2025/26,26,Alavés,0,Eduardo Coudet,20%,60%,88.0%
20328,2025/26,26,Rayo,1,Íñigo Pérez,20%,60%,89.5%
20328,2025/26,26,Athletic,0,Valverde,20%,60%,83.6%
20323,2025/26,26,Barcelona,1,Flick,20%,60%,87.9%
20323,2025/26,26,Villarreal,0,Marcelino,20%,60%,83.2%
20327,2025/26,26,Mallorca,1,Sin Técnico,20%,60%,0%
20327,2025/26,26,Real Sociedad,0,Matarazzo,20%,60%,85.4%
20331,2025/26,26,Real Oviedo,1,Almada,20%,60%,96.9%
20331,2025/26,26,Atlético,0,Simeone,40%,40%,88.2%
20324,2025/26,26,Elche,1,Éder Sarabia,20%,40%,77.6%
20324,2025/26,26,Espanyol,0,Manolo González,20%,60%,87.4%
20332,2025/26,26,Valencia,1,Corberán,20%,60%,95.3%
20332,2025/26,26,Osasuna,0,Alessio Lisci,20%,80%,90.9%
20329,2025/26,26,Betis,1,Manuel Pellegrini,20%,60%,90.0%
20329,2025/26,26,Sevilla,0,Almeyda,20%,80%,86.7%
20325,2025/26,26,Girona,1,Míchel,20%,80%,91.8%
20325,2025/26,26,Celta,0,Giráldez,80%,40%,75.8%
20330,2025/26,26,Real Madrid,1,Arbeloa,60%,60%,86.7%
20330,2025/26,26,Getafe,0,Pepe Bordalás,20%,80%,93.5%
