Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20323,2025/26,26,Barcelona,Defensa,5.0,29,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20330,2025/26,26,Real Madrid,Defensa,23.0,22,ES,80%,Sano,22,2,2,0,4,1,1.8,152,6.9,3,9,16
Aarón,Aarón,20331,2025/26,26,Real Oviedo,Portero,25.0,30,ES,95%,Sano,24,0,0,2,2,0,1.4,175,7.3,3,2,7
Abde,Ez Abde,20329,2025/26,26,Betis,Delantero,25.0,24,MA,90%,Sano,16,5,4,0,2,0,1.8,125,7.8,6,10,10
Abdon,Abdón,20327,2025/26,26,Mallorca,Delantero,3.0,33,ES,5%,Sano,9,0,0,0,0,0,-1,13,1.4,0,0,0
Abel Ruiz,Abel Ruiz,20325,2025/26,26,Girona,Delantero,3.0,26,ES,10%,Sano,3,0,0,0,0,0,-1,4,1.3,0,0,0
Abqar,A. abqar,20330,2025/26,26,Getafe,Defensa,8.0,26,MA,30%,Lesionado/Duda,13,0,1,0,6,0,1,48,3.7,3,3,1
Adam Boayar,Adam B.,20324,2025/26,26,Elche,Mediocampista,4.0,20,MA,10%,Sano,7,1,0,0,0,0,-1,19,2.7,2,0,0
Adams,Akor,20329,2025/26,26,Sevilla,Delantero,11.0,26,NG,70%,Sano,20,6,3,0,1,0,1.2,95,4.8,8,3,3
Adrián,Adrián,20329,2025/26,26,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20324,2025/26,26,Elche,Defensa,10.0,24,AT,50%,Sano,23,0,0,0,5,1,1,96,4.2,2,0,-1
Agirrezabala,Agirrezabala,20332,2025/26,26,Valencia,Portero,17.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20329,2025/26,26,Sevilla,Mediocampista,10.0,24,FR,80%,Sano,22,1,2,0,9,0,1,91,4.1,6,3,4
Aguado,M. Aguado,20324,2025/26,26,Elche,Mediocampista,10.0,26,ES,70%,Sano,24,0,1,0,2,0,1,93,3.9,4,5,2
Ahijado,Lucas,20331,2025/26,26,Real Oviedo,Defensa,8.0,31,ES,10%,Sano,13,0,1,0,2,0,1,41,3.2,0,2,2
Aidoo,Aidoo Jr,20325,2025/26,26,Celta,Defensa,7.0,30,GH,50%,Sano,4,0,0,0,0,0,1.5,20,5,11,0,0
Aihen,Aihen,20327,2025/26,26,Real Sociedad,Defensa,6.0,28,ES,0%,Lesionado/Duda,16,0,0,0,1,0,1,29,1.8,0,-3,0
Aitor Mañas,Mañas,20326,2025/26,26,Alavés,Delantero,3.0,2026,N/A,5%,Sano,6,0,0,0,0,0,0.9,9,1.5,2,0,2
Aitor,Aitor Fdez,20332,2025/26,26,Osasuna,Portero,1.0,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
Akhomach,I. Akhomach,20328,2025/26,26,Rayo,Delantero,6.0,21,MA,70%,Sano,4,0,0,0,1,0,1.5,38,2.9,6,8,3
Alaba,Alaba,20330,2025/26,26,Real Madrid,Defensa,4.0,33,AT,50%,Sano,7,0,0,0,1,0,1,15,2.1,1,2,0
Alemão,Alemao,20328,2025/26,26,Rayo,Delantero,6.0,27,BR,10%,Sano,13,1,0,0,1,0,-1,32,2.5,0,0,0
Alexander-Arnold,Trent,20330,2025/26,26,Real Madrid,Defensa,7.0,27,EN,70%,Sano,11,0,2,0,1,0,1.5,45,4.1,0,11,2
Alexis,Alexis Sánchez,20329,2025/26,26,Sevilla,Delantero,8.0,37,CL,30%,Sano,17,2,1,0,1,0,0.7,60,3.5,1,0,2
Aleñá,Aleñá,20326,2025/26,26,Alavés,Mediocampista,10.0,28,ES,80%,Sano,25,0,4,0,3,0,1.2,103,4.1,3,11,5
Alfon,Alfon,20323,2025/26,26,Villarreal,Delantero,5.0,26,ES,10%,Sano,1,0,0,0,0,0,-1,33,3,1,0,0
Alhassane,A. Rahim,20331,2025/26,26,Real Oviedo,Defensa,9.0,24,NE,30%,Sano,19,0,0,0,1,0,-1,57,3,0,0,0
Almada,Almada,20331,2025/26,26,Atlético,Mediocampista,9.0,24,AR,50%,Sano,17,3,1,0,1,0,0.7,84,4.9,1,4,2
