ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20335,2025/26,27,Celta,1,Giráldez,20%,40%,76.0%
20335,2025/26,27,Real Madrid,0,Arbeloa,20%,60%,87.3%
20339,2025/26,27,Osasuna,1,Alessio Lisci,20%,80%,91.3%
20339,2025/26,27,Mallorca,0,Demichelis,20%,60%,87.3%
20338,2025/26,27,Levante,1,Luis Castro,20%,60%,87.2%
20338,2025/26,27,Girona,0,Míchel,20%,80%,91.9%
20334,2025/26,27,Atlético,1,Simeone,80%,20%,88.0%
20334,2025/26,27,Real Sociedad,0,Matarazzo,60%,40%,84.6%
20333,2025/26,27,Athletic,1,Valverde,60%,60%,84.3%
20333,2025/26,27,Barcelona,0,Flick,60%,40%,87.8%
20342,2025/26,27,Villarreal,1,Marcelino,20%,60%,83.8%
20342,2025/26,27,Elche,0,Éder Sarabia,20%,40%,77.9%
20337,2025/26,27,Getafe,1,Pepe Bordalás,20%,80%,93.4%
20337,2025/26,27,Betis,0,Manuel Pellegrini,20%,60%,90.1%
20340,2025/26,27,Sevilla,1,Almeyda,20%,60%,86.5%
20340,2025/26,27,Rayo,0,Íñigo Pérez,80%,40%,88.5%
20341,2025/26,27,Valencia,1,Corberán,20%,60%,94.9%
20341,2025/26,27,Alavés,0,Quique,20%,60%,0%
20336,2025/26,27,Espanyol,1,Manolo González,20%,60%,87.0%
20336,2025/26,27,Real Oviedo,0,Almada,60%,60%,96.6%
