Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20386,2025/26,32,Barcelona,Defensa,5.0,30,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20389,2025/26,32,Real Madrid,Defensa,19.0,23,ES,40%,Sano,26,2,2,0,5,1,0.8,162,6.2,6,0,1
Aarón,Aarón,20390,2025/26,32,Real Oviedo,Portero,24.0,30,ES,95%,Sano,32,0,0,2,3,0,1.7,227,7.1,3,12,10
Abde,Ez Abde,20389,2025/26,32,Betis,Delantero,26.0,24,MA,80%,Sano,23,7,7,0,3,0,2.1,172,7.5,15,13,2
Abdon,Abdón,20384,2025/26,32,Mallorca,Delantero,3.0,33,ES,15%,Sano,11,0,0,0,0,0,1,16,1.5,0,1,0
Abed,Huseini,20385,2025/26,32,Levante,Defensa,1.0,21,IL,0%,Sano,4,0,0,0,0,0,1,0,0,0,0,N/A
Abel Ruiz,Abel Ruiz,20391,2025/26,32,Girona,Delantero,4.0,26,ES,0%,Lesionado/Duda,9,0,0,0,0,0,1.5,18,2,0,2,4
Abqar,A. abqar,20386,2025/26,32,Getafe,Defensa,8.0,27,MA,60%,Sano,18,0,2,0,8,1,1,65,3.6,5,8,0
Adam Boayar,Adam B.,20390,2025/26,32,Elche,Mediocampista,4.0,20,MA,0%,Lesionado/Duda,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20387,2025/26,32,Sevilla,Delantero,10.0,26,NG,80%,Sano,27,8,3,0,2,0,1,120,4.4,1,9,2
Adrián,Adrián,20389,2025/26,32,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20390,2025/26,32,Elche,Defensa,10.0,25,AT,70%,Sano,30,1,1,0,6,1,2.1,136,4.5,17,9,4
Agirrezabala,Agirrezabala,20391,2025/26,32,Valencia,Portero,17.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20387,2025/26,32,Sevilla,Mediocampista,9.0,24,FR,70%,Sano,28,1,2,0,11,0,1.3,106,3.8,5,4,0
Aguado,M. Aguado,20390,2025/26,32,Elche,Mediocampista,9.0,26,ES,50%,Sano,29,1,1,0,2,0,1,113,3.9,0,0,4
Ahijado,Lucas,20390,2025/26,32,Real Oviedo,Defensa,7.0,31,ES,50%,Sano,15,0,1,0,2,0,-1,42,2.8,0,0,0
Aidoo,Aidoo Jr,20392,2025/26,32,Celta,Defensa,6.0,30,GH,50%,Sano,8,0,0,0,0,0,0.4,26,3.3,0,-1,2
Aihen,Aihen,20388,2025/26,32,Real Sociedad,Defensa,6.0,28,ES,20%,Sano,18,0,0,0,1,0,1.1,34,1.9,4,1,0
Aitor,Aitor Fdez,20387,2025/26,32,Osasuna,Portero,1.0,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
Akhomach,I. Akhomach,20388,2025/26,32,Rayo,Delantero,7.0,22,MA,50%,Sano,10,0,1,0,2,0,1,58,3.1,8,2,0
Alaba,Alaba,20389,2025/26,32,Real Madrid,Defensa,4.0,33,AT,30%,Sano,8,0,0,0,1,0,-1,18,2.3,0,0,0
Alemão,Alemao,20388,2025/26,32,Rayo,Delantero,6.0,28,BR,30%,Sano,20,1,0,0,1,0,1,46,2.3,5,1,3
Alexander-Arnold,Trent,20389,2025/26,32,Real Madrid,Defensa,8.0,27,EN,50%,Sano,16,0,4,0,1,0,0.6,73,4.6,10,0,6
Alexis,Alexis Sánchez,20387,2025/26,32,Sevilla,Delantero,8.0,37,CL,30%,Sano,23,3,1,0,1,0,1,77,3.3,2,2,0
Aleñá,Aleñá,20384,2025/26,32,Alavés,Mediocampista,9.0,28,ES,50%,Sano,32,0,4,0,4,0,1,123,3.8,3,2,2
