Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VVVVV,79,31,26,1,4,84,30,+54
Real Madrid,VVVDE,70,31,22,4,5,65,29,+36
Villarreal,VEVDV,61,31,19,4,8,56,36,+20
Atlético de Madrid,VVDDD,57,31,17,6,8,51,32,+19
Real Betis,DEDEE,46,31,11,13,7,45,38,+7
Celta,DEDVD,44,31,11,11,9,44,40,+4
Real Sociedad,DVDVE,42,31,11,9,11,49,48,+1
Getafe,VDVVD,41,31,12,5,14,27,32,-5
Osasuna,EDVEE,39,31,10,9,12,37,38,-1
Espanyol,EDDED,38,31,10,8,13,37,48,-11
Girona FC,EVDVE,38,31,9,11,11,33,45,-12
Athletic,DDVDD,38,31,11,5,15,33,45,-12
Rayo Vallecano,EEDVD,35,31,8,11,12,29,38,-9
Valencia,VDVDD,35,31,9,8,14,34,46,-12
Mallorca,EVDVV,34,31,9,7,15,39,48,-9
Sevilla,EDDDV,34,31,9,7,15,39,51,-12
Deportivo Alavés,DEVEE,33,31,8,9,14,35,46,-11
Elche,DDVDV,32,31,7,11,13,39,47,-8
Levante,EEVDV,29,31,7,8,16,35,50,-15
Real Oviedo,EVDVV,27,31,6,9,16,24,48,-24
