ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20433,2025/26,37,Athletic,1,Valverde,80%,40%,84.0%
20433,2025/26,37,Celta,0,Giráldez,80%,40%,76.9%
20434,2025/26,37,Atlético,1,Simeone,60%,60%,85.6%
20434,2025/26,37,Girona,0,Míchel,40%,60%,92.1%
20436,2025/26,37,Elche,1,Éder Sarabia,40%,40%,83.1%
20436,2025/26,37,Getafe,0,Pepe Bordalás,40%,60%,91.8%
20437,2025/26,37,Levante,1,Luis Castro,40%,60%,89.7%
20437,2025/26,37,Mallorca,0,Demichelis,40%,80%,89.4%
20438,2025/26,37,Osasuna,1,Alessio Lisci,40%,60%,91.4%
20438,2025/26,37,Espanyol,0,Manolo González,20%,60%,87.4%
20439,2025/26,37,Rayo,1,Íñigo Pérez,100%,60%,85.3%
20439,2025/26,37,Villarreal,0,Marcelino,80%,40%,84.7%
20440,2025/26,37,Real Oviedo,1,Almada,60%,40%,83.7%
20440,2025/26,37,Alavés,0,Quique,20%,60%,90.7%
20441,2025/26,37,Real Sociedad,1,Matarazzo,80%,60%,84.0%
20441,2025/26,37,Valencia,0,Corberán,40%,60%,92.0%
20442,2025/26,37,Sevilla,1,Luis García,60%,40%,82.9%
20442,2025/26,37,Real Madrid,0,Arbeloa,60%,60%,82.5%
20435,2025/26,37,Barcelona,1,Flick,80%,60%,87.6%
20435,2025/26,37,Betis,0,Manuel Pellegrini,80%,40%,84.9%
