Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VVVDV,94,37,31,1,5,94,33,+61
Real Madrid,EVDVV,83,37,26,5,6,73,33,+40
Villarreal,VVEDD,69,37,21,6,10,67,45,+22
Atlético de Madrid,VVDVV,69,37,21,6,10,61,39,+22
Real Betis,EVEVD,57,37,14,15,8,57,47,+10
Celta,DVVDE,51,37,13,12,12,52,48,+4
Getafe,DDEVD,48,37,14,6,17,31,38,-7
Rayo Vallecano,EVEEV,47,37,11,14,12,39,43,-4
Valencia,VDVEV,46,37,12,10,15,43,54,-11
Real Sociedad,EDEED,45,37,11,12,14,58,60,-2
Espanyol,EDDVV,45,37,12,9,16,42,54,-12
Athletic,DVDDE,45,37,13,6,18,41,54,-13
Sevilla,DVVVD,43,37,12,7,18,46,59,-13
Deportivo Alavés,VDEVV,43,37,11,10,16,43,54,-11
Levante,EDVVV,42,37,11,9,17,46,59,-13
Osasuna,VDDDD,42,37,11,9,17,44,49,-5
Elche,VDEDV,42,37,10,12,15,48,56,-8
Girona FC,DDEED,40,37,9,13,15,38,54,-16
Mallorca,DVEDD,39,37,10,9,18,44,57,-13
Real Oviedo,DDEDD,29,37,6,11,20,26,57,-31
