Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,29,20362,Villarreal,Real Sociedad,1,Luiz Junior,Júnior R.,Luiz Júnior,Portero,25,BR,24.0,90%,Sano,1.2,25.0,177,7.1,4,10,0,0.0,0.0,1.0,3.0,0.0,90,6.7,0,0,0,0,0,0,9,6,4,3,0,0,0,0,0,0,0,0,7,2
2025/26,29,20362,Villarreal,Real Sociedad,1,Pedraza,A. Pedraza,Alfonso Pedraza,Defensa,29,ES,9.0,50%,Sano,1.0,21.0,81,3.9,3,0,-2,1.0,2.0,0.0,6.0,0.0,90,6.6,0,0,2,0,0,2,3,13,6,0,0,0,0,0,0,0,0,0,7,2
2025/26,29,20362,Villarreal,Real Sociedad,1,Veiga,Renato Veiga,Renato Veiga,Defensa,22,PT,10.0,50%,Sano,1.0,24.0,81,3.4,0,2,-1,0.0,0.0,0.0,3.0,1.0,90,6.7,0,0,0,0,0,0,6,6,10,0,0,0,0,0,0,0,0,0,7,1
2025/26,29,20362,Villarreal,Real Sociedad,1,Mouriño,Mouriño,Santiago Mouriño,Defensa,24,UY,13.0,90%,Sano,1.7,21.0,108,5.1,6,11,5,1.0,2.0,0.0,9.0,1.0,90,7.0,0,0,0,1,0,0,2,12,6,0,0,0,0,0,0,0,0,0,4,1
2025/26,29,20362,Villarreal,Real Sociedad,1,Pau Navarro,Pau Navarro,Pau Navarro,Defensa,20,ES,10.0,80%,Sano,1.5,16.0,61,3.8,5,10,-1,0.0,0.0,0.0,3.0,0.0,90,7.0,0,0,0,0,0,0,2,5,6,0,0,0,0,0,0,0,0,0,7,2
2025/26,29,20362,Villarreal,Real Sociedad,1,Comesaña,Comesaña,Santi Comesaña,Mediocampista,29,ES,13.0,70%,Sano,1.7,26.0,134,5.2,12,11,1,3.0,4.0,0.0,4.0,1.0,89,7.7,0,1,3,0,0,0,4,9,1,0,0,0,0,0,0,0,0,0,10,3
2025/26,29,20362,Villarreal,Real Sociedad,1,P. Gueye,Gueye,Pape Gueye,Mediocampista,27,SN,17.0,80%,Sano,1.3,22.0,126,5.7,3,13,9,4.0,2.0,0.0,7.0,0.0,89,7.1,0,0,2,0,0,0,6,13,3,0,0,0,0,0,0,0,0,0,7,3
2025/26,29,20362,Villarreal,Real Sociedad,1,Moleiro,A. Moleiro,Alberto Moleiro,Mediocampista,22,ES,21.0,70%,Sano,1.2,27.0,176,6.5,2,4,1,9.0,4.0,0.0,3.0,0.0,74,7.3,0,0,1,1,0,0,2,9,1,0,0,0,0,0,0,0,0,0,3,1
2025/26,29,20362,Villarreal,Real Sociedad,1,Gerard,Gerard,Gerard Moreno,Delantero,33,ES,10.0,50%,Sano,1.0,14.0,97,6.9,2,1,0,7.0,0.0,0.0,0.0,0.0,74,7.4,1,0,1,3,0,0,4,12,3,0,0,0,0,0,0,0,0,0,10,3
2025/26,29,20362,Villarreal,Real Sociedad,1,Pépé,Pepe,Nicolas Pépé,Delantero,30,CI,19.0,90%,Sano,1.5,27.0,166,6.1,11,6,5,4.0,4.0,0.0,3.0,0.0,90,8.1,1,0,4,2,0,1,5,11,0,0,0,0,0,0,0,0,0,0,12,4
