Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
A. Abqar,8.0,Getafe,Defensa,45
A. Batalla,18.0,Rayo,Portero,140
A. Castrín,8.0,Sevilla,Defensa,40
A. Ferllo,1.2,Sevilla,Portero,0
A. Fores,4.0,Real Oviedo,Desconocido,26
A. Fortuño,1.0,Espanyol,Portero,0
PRSY DER,,Desconocido,Desconocido,0
tafF DGL,,Alavés,Desconocido,36
Álvaro,14.0,Elche,Desconocido,113
Álvaro García,12.0,Rayo,Mediocampista,109
Álvaro García,0.2,Alavés,Defensa,0
Álvaro Nuñez,16.0,Elche,Defensa,108
Óscar Marcos,0.35,Celta,Desconocido,0
Óscar Valentín,11.0,Rayo,Mediocampista,85
