Temporada,Jornada,Equipo_Nombre,Jugador_stats,Jugador_SofaScore,Stats_Reales,Puntos_Teoricos,Discrepancia
T24-25,J38,Leganés,Yan Diomande,Yan Diomande,0,14,-14
T23-24,J22,Barcelona,İlkay Gündoğan,İlkay Gündoğan,9,22,-13
T23-24,J3,Rayo Vallecano,Florian Lejeune,Florian Lejeune,-5,7,-12
T24-25,J4,Real Valladolid,Javi Sánchez,Javi Sánchez,-4,7,-11
T23-24,J37,Villarreal,Alberto Moreno,Alberto Moreno,-3,8,-11
T23-24,J38,Cádiz,Javier Hernández,Javier Hernández,-2,9,-11
T24-25,J35,Leganés,Yan Diomande,Yan Diomande,0,11,-11
T23-24,J3,Rayo Vallecano,Stole Dimitrievski,Stole Dimitrievski,-3,7,-10
T24-25,J4,Real Valladolid,Karl Hein,Karl Hein,-1,9,-10
T23-24,J38,Granada,Marc Martínez,Marc Martínez,-3,7,-10
T24-25,J11,Espanyol,Álvaro Tejero,Álvaro Tejero,0,10,-10
T24-25,J13,Real Madrid,Raúl Asencio,Raúl Asencio,0,10,-10
T23-24,J34,Barcelona,Sergi Roberto,Sergi Roberto,-4,6,-10
T23-24,J3,Rayo Vallecano,Alfonso Espino,Alfonso Espino,-4,6,-10
T24-25,J20,Mallorca,Johan Mojica,Johan Mojica,-2,8,-10
T23-24,J8,Real Betis,Assane Diao,Assane Diao,0,10,-10
T23-24,J6,Getafe,Diego Rico,Diego Rico,3,13,-10
T23-24,J38,Cádiz,Lucas Pires,Lucas Pires,-4,6,-10
T23-24,J7,Real Betis,Assane Diao,Assane Diao,0,10,-10
T23-24,J30,Villarreal,Filip Jørgensen,Filip Jørgensen,0,10,-10
T25-26,J24,Real Sociedad,Carlos Soler,Carlos Soler,2,12,-10
T25-26,J21,Levante UD,Pablo Martínez,Pablo Martínez,14,24,-10
T23-24,J37,Mallorca,Jaume Costa,Jaume Costa,0,10,-10
T23-24,J38,Cádiz,Fali,Fali,-4,6,-10
T23-24,J29,Osasuna,Johan Mojica,Johan Mojica,-3,7,-10
T25-26,J4,Valencia,Julen Agirrezabala,Julen Agirrezabala,-2,8,-10
T25-26,J4,Valencia,José Luis Gayà,José Luis Gayà,-4,6,-10
T24-25,J21,Valencia,Giorgi Mamardashvili,Giorgi Mamardashvili,-3,7,-10
T25-26,J4,Real Betis,Héctor Bellerín,Héctor Bellerín,-1,9,-10
T23-24,J36,Celta Vigo,Damián Rodríguez,Damián Rodríguez,0,10,-10
T24-25,J25,Real Valladolid,Karl Hein,Karl Hein,0,10,-10
T23-24,J18,Barcelona,İlkay Gündoğan,İlkay Gündoğan,0,10,-10
T23-24,J38,Cádiz,David Gil,David Gil,-2,8,-10
T24-25,J29,Real Madrid,Fran García,Fran García,3,13,-10
T23-24,J20,Rayo Vallecano,Josep Chavarría,Josep Chavarría,4,14,-10
T23-24,J1,Granada,Samu Aghehowa,Samu Aghehowa,0,10,-10
T25-26,J15,Real Betis,Pablo Fornals,Pablo Fornals,0,9,-9
T24-25,J11,Villarreal,Alejandro Baena,Alejandro Baena,3,12,-9
T23-24,J34,Osasuna,Johan Mojica,Johan Mojica,1,10,-9
T24-25,J4,Real Valladolid,Luis Pérez,Luis Pérez,-4,5,-9
T23-24,J32,Celta Vigo,Hugo Álvarez,Hugo Álvarez,0,9,-9
T25-26,J24,Real Sociedad,Aihen Muñoz,Aihen Muñoz,-3,6,-9
T23-24,J32,Cádiz,Iza Carcelén,Iza Carcelén,-2,7,-9
T24-25,J6,Espanyol,Carlos Romero,Carlos Romero,-4,5,-9
