Temporada,Jornada,Equipo,Jugador,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
23-24,11,Girona FC,Paulo Gazzaniga,G,11,3,7.3,90,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,4
23-24,11,Girona FC,David López,D,2,1,6.6,45,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
23-24,11,Girona FC,Daley Blind,D,7,2,7.4,90,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,9
23-24,11,Girona FC,Miguel Gutiérrez,M,8,2,7.2,90,0,0,1,0,0,0,9,3,0,0,0,0,0,0,0,0,0,10
23-24,11,Girona FC,Yan Couto,F,4,1,6.7,90,0,0,2,1,0,0,6,1,0,0,0,0,0,0,0,0,0,22
23-24,11,Girona FC,Arnau Martínez,D,7,2,7.2,79,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,10
23-24,11,Girona FC,Aleix García,M,15,3,8.0,90,0,1,5,7,0,0,6,3,0,0,0,0,0,0,0,0,0,19
23-24,11,Girona FC,Yangel Herrera,M,11,2,7.3,90,1,0,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,19
23-24,11,Girona FC,Iván Martín,M,5,1,6.7,67,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
23-24,11,Girona FC,Artem Dovbyk,F,4,1,6.8,67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
23-24,11,Girona FC,Savinho,F,7,2,7.2,90,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,18
23-24,11,Girona FC,Juanpe,D,2,1,6.9,45,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6
23-24,11,Girona FC,Portu,F,2,1,6.5,23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5
23-24,11,Girona FC,Viktor Tsygankov,F,2,1,6.6,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
23-24,11,Girona FC,Cristhian Stuani,F,0,0,6.7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23-24,11,Celta Vigo,Vicente Guaita,G,5,2,6.7,90,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,14
23-24,11,Celta Vigo,Kevin Vázquez,D,2,0,6.7,90,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,9
23-24,11,Celta Vigo,Unai Núñez,D,3,1,6.9,90,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,11
23-24,11,Celta Vigo,Manuel Sánchez,D,4,1,7.1,90,0,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,10
23-24,11,Celta Vigo,Carl Starfelt,D,5,1,6.8,90,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,5
23-24,11,Celta Vigo,Renato Tapia,M,4,2,6.9,90,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,14
23-24,11,Celta Vigo,Luca De La Torre,M,3,0,6.3,90,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
23-24,11,Celta Vigo,Jonathan Bamba,M,5,1,6.8,75,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7
23-24,11,Celta Vigo,Carlos Dotor,M,5,1,7.0,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
23-24,11,Celta Vigo,Iago Aspas,F,6,2,7.3,90,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11
23-24,11,Celta Vigo,Jørgen Strand Larsen,F,2,1,6.7,90,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,17
23-24,11,Celta Vigo,Óscar Mingueza,D,2,1,6.7,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
23-24,11,Celta Vigo,Fran Beltrán,M,1,0,6.5,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
23-24,11,Almería,Fernando Martínez,G,3,2,6.4,90,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,15
23-24,11,Almería,Alejandro Pozo,D,0,1,6.1,90,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,28
23-24,11,Almería,Álex Centelles,D,0,0,6.3,45,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,9
23-24,11,Almería,Chumi,D,3,1,6.6,90,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,4
23-24,11,Almería,César Montes,D,-2,0,6.2,90,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,20
23-24,11,Almería,Adrián Embarba,M,1,1,6.5,90,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,25
23-24,11,Almería,Iddrisu Baba,M,0,0,6.5,45,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5
23-24,11,Almería,Lucas Robertone,M,5,2,7.6,81,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,12
23-24,11,Almería,Dion Lopy,M,3,1,6.9,90,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
23-24,11,Almería,Léo Baptistão,F,4,1,6.9,86,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,8
23-24,11,Almería,Lázaro,M,3,1,6.3,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
23-24,11,Almería,Houboulang Mendes,D,3,2,6.3,45,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,11
23-24,11,Almería,Gonzalo Melero,M,1,0,6.4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23-24,11,Almería,Sergio Arribas,M,2,1,6.5,45,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7
23-24,11,Almería,Largie Ramazani,F,6,1,7.2,27,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,8
23-24,11,Almería,Marciano Sanca Tchami,F,0,0,6.4,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
23-24,11,Las Palmas,Álvaro Valles,G,7,3,7.4,90,0,0,0,0,0,0,14,1,3,0,0,0,0,0,0,0,0,11
23-24,11,Las Palmas,Alex Suárez,D,4,1,7.0,90,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,11
23-24,11,Las Palmas,Mika Mármol,D,7,2,7.0,90,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,9
23-24,11,Las Palmas,Sergi Cardona,D,3,2,7.5,90,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,26
23-24,11,Las Palmas,Saúl Coco,D,5,1,6.7,90,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,8
23-24,11,Las Palmas,Javier Muñoz,M,4,2,7.5,90,0,0,4,1,0,0,4,2,0,0,0,0,0,0,0,0,0,9
23-24,11,Las Palmas,Kirian Rodríguez,M,3,2,7.0,90,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,22
23-24,11,Las Palmas,Marvin Park,M,10,3,7.6,82,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,15
23-24,11,Las Palmas,Máximo Perrone,M,5,1,6.7,69,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
23-24,11,Las Palmas,Munir El Haddadi,M,8,1,7.1,60,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,11
23-24,11,Las Palmas,Marc Cardona,F,4,1,6.8,60,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8
23-24,11,Las Palmas,Julián Araujo,D,4,2,6.9,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23-24,11,Las Palmas,Enzo Loiodice,M,2,1,6.3,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
23-24,11,Las Palmas,Alberto Moleiro,M,1,0,6.4,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
23-24,11,Las Palmas,Sory Kaba,F,6,1,7.0,30,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4
23-24,11,Barcelona,Marc-André Ter Stegen,G,6,3,6.9,90,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,2
23-24,11,Barcelona,Iñigo Martínez,D,3,2,7.2,90,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,11
23-24,11,Barcelona,João Cancelo,M,2,1,6.3,76,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,17
23-24,11,Barcelona,Andreas Christensen,D,3,2,7.1,90,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4
23-24,11,Barcelona,Ronald Araújo,D,0,1,6.8,90,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,20
23-24,11,Barcelona,Alejandro Balde,M,0,1,6.5,90,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9
23-24,11,Barcelona,İlkay Gündoğan,M,6,1,7.3,90,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12
23-24,11,Barcelona,Pablo Gavi,M,3,1,7.1,90,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,8
23-24,11,Barcelona,Fermín López,F,2,1,7.0,72,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,6
