Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_Fantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,21,Las Palmas,Osasuna,1,Cillessen,Jasper Cillessen,G,5,1,6.7,90,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,7
24-25,21,Las Palmas,Osasuna,1,Alex Suárez,Alex Suárez,D,2,1,6.5,81,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,8
24-25,21,Las Palmas,Osasuna,1,McKenna,Scott McKenna,D,5,2,7.0,90,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,7
24-25,21,Las Palmas,Osasuna,1,Mármol,Mika Mármol,D,5,2,7.2,90,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,20
24-25,21,Las Palmas,Osasuna,1,Javi Muñoz,Javier Muñoz,D,4,2,7.2,90,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,11
24-25,21,Las Palmas,Osasuna,1,Kirian,Kirian Rodríguez,M,5,2,7.0,81,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,8
24-25,21,Las Palmas,Osasuna,1,Fuster,Manuel Fuster,M,-1,0,6.4,56,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,13
24-25,21,Las Palmas,Osasuna,1,Essugo,Dário Essugo,M,2,2,6.4,72,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
24-25,21,Las Palmas,Osasuna,1,Moleiro,Alberto Moleiro,M,3,1,6.6,89,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11
24-25,21,Las Palmas,Osasuna,1,Sandro,Sandro Ramírez,M,5,2,7.3,90,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,16
