Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,31,Valencia,Sevilla,1,Mamardashvili,Giorgi Mamardashvili,G,13,4,8.1,90,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,0,16
24-25,31,Valencia,Sevilla,1,Gayà,José Luis Gayà,D,7,2,7.2,90,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,10
24-25,31,Valencia,Sevilla,1,Foulquier,Dimitri Foulquier,D,6,3,7.2,90,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,9
24-25,31,Valencia,Sevilla,1,Mosquera,Cristhian Mosquera,D,8,2,6.8,90,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,8
24-25,31,Valencia,Sevilla,1,Tárrega,César Tárrega,D,9,3,7.1,90,0,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,9
24-25,31,Valencia,Sevilla,1,Rioja,Luis Rioja,M,8,3,7.3,87,0,0,1,1,0,0,7,2,0,0,0,0,0,0,0,0,0,15
24-25,31,Valencia,Sevilla,1,Javi Guerra,Javier Guerra,M,13,4,7.6,87,1,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,16
24-25,31,Valencia,Sevilla,1,Almeida,André Almeida,M,6,2,6.8,74,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5
24-25,31,Valencia,Sevilla,1,Barrenechea,Enzo Barrenechea,M,5,2,7.0,90,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,11
24-25,31,Valencia,Sevilla,1,Sadiq,Umar Sadiq,F,4,1,6.7,60,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9
24-25,31,Valencia,Sevilla,1,Diego López,Diego López,M,8,3,6.8,74,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,15
24-25,31,Valencia,Sevilla,1,Diakhaby,Mouctar Diakhaby,D,2,1,6.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-25,31,Valencia,Sevilla,1,Pepelu,Pepelu,M,3,2,6.8,16,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
24-25,31,Valencia,Sevilla,1,Fran Pérez,Fran Pérez,M,1,0,6.4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24-25,31,Valencia,Sevilla,1,Rafa Mir,Rafa Mir,F,2,1,6.6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-25,31,Valencia,Sevilla,1,Duro,Hugo Duro,F,1,0,6.1,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
24-25,31,Sevilla,Valencia,0,Nyland,Ørjan Nyland,G,8,3,7.7,90,0,0,0,0,0,0,5,2,5,0,0,0,0,0,0,0,0,4
24-25,31,Sevilla,Valencia,0,Gudelj,Nemanja Gudelj,D,4,1,6.7,79,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2
24-25,31,Sevilla,Valencia,0,Carmona,José Ángel Carmona,D,3,1,6.6,79,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,13
24-25,31,Sevilla,Valencia,0,Kike Salas,Kike Salas,D,7,2,7.4,90,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,14
24-25,31,Sevilla,Valencia,0,Badé,Loïc Badé,D,6,2,6.8,90,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,10
24-25,31,Sevilla,Valencia,0,Sow,Djibril Sow,M,7,3,7.6,90,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4
24-25,31,Sevilla,Valencia,0,Lokonga,Albert Sambi Lokonga,M,5,2,7.3,66,0,0,3,0,2,0,1,2,0,0,0,0,0,0,0,0,0,5
24-25,31,Sevilla,Valencia,0,Agoume,Lucien Agoumé,M,6,3,7.3,90,0,0,1,0,0,0,8,4,0,0,0,0,0,0,0,0,0,10
24-25,31,Sevilla,Valencia,0,Lukebakio,Dodi Lukebakio,M,6,3,7.3,90,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,15
24-25,31,Sevilla,Valencia,0,Peque,Peque Fernández,M,4,1,6.7,66,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,10
