Equipo,FutFantasy,SofaScore
Almería,melero,gonzalo melero
Almería,lazaro,lazaro
Almería,lopy,dion lopy
Almería,akieme,sergio akieme
Almería,robertone,lucas robertone
Almería,pubill,marc pubill
Almería,ramazani,largie ramazani
Almería,embarba,adrian embarba
Almería,arribas,sergio arribas
Almería,babic,srđan babic
Almería,baba,iddrisu baba
Almería,luis suarez,luis javier suarez
Almería,marino,diego marino
Almería,edgar,edgar gonzalez
Almería,pozo,alejandro pozo
Almería,marezi,marko milovanovic
Rayo Vallecano,dimitrievski,stole dimitrievski
Rayo Vallecano,lejeune,florian lejeune
Rayo Vallecano,valentin,oscar valentin
Rayo Vallecano,aridane,aridane hernandez
Rayo Vallecano,trejo,oscar trejo
Rayo Vallecano,falcao,radamel falcao
Rayo Vallecano,unai lopez,unai lopez
Rayo Vallecano,mendez,diego mendez
Rayo Vallecano,balliu,ivan balliu
Rayo Vallecano,espino,alfonso espino
Rayo Vallecano,salvi,salvi sanchez
Rayo Vallecano,pep chavarria,josep chavarria
Rayo Vallecano,alvaro garcia,alvaro garcia
Rayo Vallecano,nteka,randy nteka
Rayo Vallecano,pathe ciss,pathe ismael ciss
Rayo Vallecano,isi,isi palazon
Sevilla,fernando,fernando
Sevilla,gattoni,federico gattoni
Sevilla,sow,djibril sow
Sevilla,lamela,erik lamela
Sevilla,oliver,oliver torres
Sevilla,suso,suso
Sevilla,navas,jesus navas
Sevilla,rakitic,ivan rakitic
Sevilla,ocampos,lucas ocampos
Sevilla,bono,bono
Sevilla,juanlu,juanlu sanchez
Sevilla,bade,loic bade
Sevilla,en nesyri,youssef en-nesyri
Sevilla,gudelj,nemanja gudelj
Sevilla,acuna,marcos acuna
Valencia,jesus vazquez,jesus vazquez
Valencia,pepelu,pepelu
Valencia,foulquier,dimitri foulquier
Valencia,gozalbez,pablo gozalbez
Valencia,gabriel,gabriel paulista
Valencia,duro,hugo duro
Valencia,fran perez,fran perez
Valencia,almeida,andre almeida
Valencia,diego lopez,diego lopez
Valencia,javi guerra,javier guerra
Valencia,thierry,thierry correia
Valencia,diakhaby,mouctar diakhaby
Valencia,mamardashvili,giorgi mamardashvili
Valencia,ozkacar,cenk ozkacar
Valencia,gaya,jose luis gaya
Real Sociedad,sadiq,umar sadiq
Real Sociedad,olasagasti,jon ander olasagasti
Real Sociedad,turrientes,benat turrientes
Real Sociedad,alex sola,alex sola
Real Sociedad,carlos,carlos fernandez
Real Sociedad,oyarzabal,mikel oyarzabal
Real Sociedad,ali cho,mohamed-ali cho
Real Sociedad,zubimendi,martin zubimendi
Real Sociedad,barrenetxea,ander barrenetxea
Real Sociedad,zubeldia,igor zubeldia
Real Sociedad,kubo,takefusa kubo
Real Sociedad,traore,hamari traore
Real Sociedad,aihen,aihen munoz
Real Sociedad,le normand,robin le normand
Real Sociedad,remiro,alex remiro
Real Sociedad,brais,brais mendez
Girona FC,ivan martin,ivan martin
Girona FC,pablo torre,pablo torre
Girona FC,bernardo,bernardo espinosa
Girona FC,valery,valery fernandez
Girona FC,herrera,yangel herrera
Girona FC,aleix garcia,aleix garcia
Girona FC,savinho,savinho
Girona FC,blind,daley blind
Girona FC,stuani,cristhian stuani
Girona FC,tsygankov,viktor tsygankov
Girona FC,yan couto,yan couto
Girona FC,david lopez,david lopez
Girona FC,gazzaniga,paulo gazzaniga
Girona FC,miguel,miguel gutierrez
Girona FC,arnau,arnau martinez
Girona FC,dovbyk,artem dovbyk
Las Palmas,mfulu,omenuke mfulu
Las Palmas,loiodice,enzo loiodice
Las Palmas,munir,munir el haddadi
Las Palmas,kirian,kirian rodriguez
Las Palmas,saul coco,saul coco
Las Palmas,alex suarez,alex suarez
Las Palmas,s. cardona,sergi cardona
Las Palmas,m. cardona,marc cardona
Las Palmas,sandro,sandro ramirez
Las Palmas,viera,jonathan viera
Las Palmas,sinkgraven,daley sinkgraven
Las Palmas,valles,alvaro valles
Las Palmas,javi munoz,javier munoz
Las Palmas,a. lemos,alvaro lemos
Mallorca,giovanni,giovanni gonzalez
Mallorca,raillo,antonio raillo
Mallorca,copete,jose copete
Mallorca,larin,cyle larin
Mallorca,dani rodriguez,dani rodriguez
Mallorca,morlanes,manu morlanes
Mallorca,samu,samu costa
Mallorca,maffeo,pablo maffeo
Mallorca,valjent,martin valjent
Mallorca,amath,amath ndiaye
Mallorca,mascarell,omar mascarell
Mallorca,llabres,javi llabres
Mallorca,costa,jaume costa
Mallorca,darder,sergi darder
Mallorca,muriqi,vedat muriqi
Mallorca,rajkovic,predrag rajkovic
Athletic Club,herrera,ander herrera
Athletic Club,sancet,oihan sancet
Athletic Club,berenguer,alex berenguer
Athletic Club,muniain,iker muniain
Athletic Club,guruzeta,gorka guruzeta
Athletic Club,unai gomez,unai gomez
Athletic Club,imanol,imanol garcia de albeniz
Athletic Club,vesga,mikel vesga
Athletic Club,paredes,aitor paredes
Athletic Club,n. williams,nico williams
Athletic Club,lekue,inigo lekue
Athletic Club,unai simon,unai simon
Athletic Club,vivian,daniel vivian
Athletic Club,i. williams,inaki williams
Athletic Club,de marcos,oscar de marcos
Athletic Club,r. de galarreta,inigo ruiz de galarreta
Real Madrid,joselu,joselu
Real Madrid,militao,eder militao
Real Madrid,bellingham,jude bellingham
Real Madrid,rodrygo,rodrygo
Real Madrid,tchouameni,aurelien tchouameni
Real Madrid,modric,luka modric
Real Madrid,rudiger,antonio rudiger
Real Madrid,kroos,toni kroos
Real Madrid,lunin,andriy lunin
Real Madrid,fran garcia,fran garcia
Real Madrid,camavinga,eduardo camavinga
Real Madrid,valverde,federico valverde
Real Madrid,vinicius,vinicius junior
Real Madrid,carvajal,daniel carvajal
Real Madrid,alaba,david alaba
Celta Vigo,swedberg,williot swedberg
Celta Vigo,veiga,gabri veiga
Celta Vigo,de la torre,luca de la torre
Celta Vigo,miguel,miguel rodriguez
Celta Vigo,strand larsen,jørgen strand larsen
Celta Vigo,beltran,fran beltran
Celta Vigo,aspas,iago aspas
Celta Vigo,bamba,jonathan bamba
Celta Vigo,manu sanchez,manuel sanchez
Celta Vigo,mingueza,oscar mingueza
Celta Vigo,sotelo,hugo sotelo
Celta Vigo,carles perez,carles perez
Celta Vigo,nunez,unai nunez
Celta Vigo,cervi,franco cervi
Celta Vigo,ivan villar,ivan villar
Celta Vigo,aidoo,joseph aidoo
Osasuna,moncayola,jon moncayola
Osasuna,herrera,sergio herrera
Osasuna,david garcia,david garcia
Osasuna,ruben pena,ruben pena
Osasuna,iker munoz,iker munoz
Osasuna,areso,jesus areso
Osasuna,arnaiz,jose manuel arnaiz
Osasuna,torro,lucas torro
Osasuna,budimir,ante budimir
Osasuna,mojica,johan mojica
Osasuna,ibanez,pablo ibanez
Osasuna,chimy,chimy avila
Osasuna,oroz,aimar oroz
Osasuna,catena,alejandro catena
Osasuna,moi gomez,moi gomez
Osasuna,ruben g.,ruben garcia
Villarreal,comesana,santi comesana
Villarreal,denis suarez,denis suarez
Villarreal,capoue,etienne capoue
Villarreal,morales,jose luis morales
Villarreal,gerard,gerard moreno
Villarreal,terrats,ramon terrats
Villarreal,parejo,dani parejo
Villarreal,pedraza,alfonso pedraza
Villarreal,a. moreno,alberto moreno
Villarreal,cuenca,jorge cuenca
Villarreal,foyth,juan foyth
Villarreal,mandi,aissa mandi
Villarreal,jorgensen,filip jørgensen
Villarreal,sorloth,alexander sørloth
Villarreal,baena,alejandro baena
Real Betis,guardado,andres guardado
Real Betis,akouokou,paul akouokou
Real Betis,willian jose,willian jose
Real Betis,ruibal,aitor ruibal
Real Betis,luiz henrique,luiz henrique
Real Betis,rodri,rodri sanchez
Real Betis,iglesias,borja iglesias
Real Betis,pezzella,german pezzella
Real Betis,isco,isco
Real Betis,guido,guido rodriguez
Real Betis,ayoze,ayoze perez
Real Betis,abner,abner vinicius
Real Betis,rui silva,rui silva
Real Betis,luiz felipe,luiz felipe
Real Betis,marc roca,marc roca
Real Betis,y. sabaly,youssouf sabaly
Getafe,djene,djene
Getafe,mayoral,borja mayoral
Getafe,maksimovic,nemanja maksimovic
Getafe,latasa,juanmi latasa
Getafe,mitrovic,stefan mitrovic
Getafe,iglesias,juan iglesias
Getafe,soria,david soria
Getafe,gaston,gaston alvarez
Getafe,damian,damian suarez
Getafe,lozano,anthony lozano
Getafe,portu,portu
Getafe,alena,carles alena
Getafe,mata,jaime mata
Getafe,d. duarte,domingos duarte
Barcelona,pedri,pedri
Barcelona,lewandowski,robert lewandowski
Barcelona,ansu fati,ansu fati
Barcelona,romeu,oriol romeu
Barcelona,balde,alejandro balde
Barcelona,raphinha,raphinha
Barcelona,araujo,ronald araujo
Barcelona,gavi,pablo gavi
Barcelona,ter stegen,marc-andre ter stegen
Barcelona,kounde,jules kounde
Barcelona,yamal,lamine yamal
Barcelona,gundogan,ilkay gundogan
Barcelona,a. christensen,andreas christensen
Barcelona,f. de jong,frenkie de jong
Barcelona,abde,abdessamad ezzalzouli
Cádiz,fali,fali
Cádiz,iza carcelen,iza carcelen
Cádiz,alex fernandez,alex fernandez
Cádiz,roger,roger marti
Cádiz,mere,jorge mere
Cádiz,alcaraz,ruben alcaraz
Cádiz,sobrino,ruben sobrino
Cádiz,ledesma,jeremias ledesma
Cádiz,lucas pires,lucas pires
Cádiz,ramos,chris ramos
